,Run_Time,Train_AUC,Validation_AUC,delta%
DT_1,0.01994776725769043,0.9269362430466408,0.93765664160401,1.1565410930673632
DT_2,0.012963294982910156,0.9761045143346171,0.9370300751879698,-4.003099931699759
DT_3,0.013963460922241211,0.9903455284552846,0.9332706766917294,-5.763125103677611
DT_4,0.012964963912963867,0.9995721009841677,0.893170426065163,-10.644722358121324
DT_5,0.015956878662109375,1.0,0.893170426065163,-10.682957393483704
DT_6,0.01595759391784668,1.0,0.893170426065163,-10.682957393483704
DT_7,0.01595783233642578,1.0,0.893170426065163,-10.682957393483704
DT_8,0.012676239013671875,1.0,0.893170426065163,-10.682957393483704
DT_9,0.015957117080688477,1.0,0.893170426065163,-10.682957393483704
DT_10,0.012966156005859375,1.0,0.893170426065163,-10.682957393483704
