,Run_Time,Train_AUC,Validation_AUC,delta%
EBLR_1_1,0.03253769874572754,1.0,0.993734335839599,-0.6265664160400974
EBLR_1_1_l2,0.023096084594726562,0.9991174582798459,0.9956140350877193,-0.35065178404132274
EBLR_1_1_l1,0.01024007797241211,0.9991709456568251,0.9774436090225564,-2.1745364723336427
EBLR_2_1,0.023221254348754883,1.0,0.993734335839599,-0.6265664160400974
EBLR_2_1_l2,0.022827625274658203,0.9991174582798459,0.9949874686716791,-0.4133637715907086
EBLR_2_1_l1,0.012250185012817383,0.9991709456568251,0.9768170426065164,-2.2372451028000944
EBLR_3_1,0.02260136604309082,1.0,0.993734335839599,-0.6265664160400974
EBLR_3_1_l2,0.024218082427978516,0.9991174582798459,0.9943609022556391,-0.4760757591400722
EBLR_3_1_l1,0.013139963150024414,0.9991709456568251,0.9774436090225564,-2.1745364723336427
EBLR_1_2,0.027283191680908203,1.0,0.9943609022556391,-0.5639097744360888
EBLR_1_2_l2,0.03203988075256348,0.9990639709028669,0.9956140350877193,-0.34531680809486903
EBLR_1_2_l1,0.01595592498779297,0.9991709456568251,0.9774436090225564,-2.1745364723336427
EBLR_2_2,0.03113245964050293,1.0,0.9943609022556391,-0.5639097744360888
EBLR_2_2_l2,0.0359499454498291,0.999170945656825,0.9956140350877193,-0.35598618880650795
EBLR_2_2_l1,0.018862247467041016,0.9991709456568251,0.9780701754385964,-2.1118278418672025
EBLR_3_2,0.03559756278991699,1.0,0.9943609022556391,-0.5639097744360888
EBLR_3_2_l2,0.04306340217590332,0.9992511767222936,0.9949874686716791,-0.42669032070596563
EBLR_3_2_l1,0.020778417587280273,0.9993848951647412,0.9774436090225564,-2.195479064006451
EBLR_1_3,0.04203367233276367,1.0,0.9968671679197995,-0.31328320802005427
EBLR_1_3_l2,0.04223370552062988,0.9990372272143774,0.9962406015037594,-0.27993208205222314
EBLR_1_3_l1,0.017980575561523438,0.9991709456568251,0.9774436090225564,-2.1745364723336427
EBLR_2_3,0.03732442855834961,1.0,0.9968671679197995,-0.31328320802005427
EBLR_2_3_l2,0.04841446876525879,0.9992511767222936,0.9943609022556391,-0.4893939162218814
EBLR_2_3_l1,0.023383140563964844,0.9991709456568251,0.9774436090225564,-2.1745364723336427
EBLR_3_3,0.048456430435180664,1.0,0.9968671679197995,-0.31328320802005427
EBLR_3_3_l2,0.044129371643066406,0.9994116388532306,0.9962406015037594,-0.3172904163003151
EBLR_3_3_l1,0.023328304290771484,0.9992511767222935,0.9780701754385964,-2.119687399636013
EBLR_1_4,0.042353153228759766,1.0,0.9962406015037594,-0.3759398496240629
EBLR_1_4_l2,0.0438389778137207,0.9990372272143774,0.9962406015037594,-0.27993208205222314
EBLR_1_4_l1,0.021965980529785156,0.9991709456568251,0.9780701754385964,-2.1118278418672025
EBLR_2_4,0.04404306411743164,1.0,0.9962406015037594,-0.3759398496240629
EBLR_2_4_l2,0.05907773971557617,0.9994383825417201,0.9956140350877193,-0.3826496481228747
EBLR_2_4_l1,0.035340070724487305,0.9991709456568251,0.9768170426065164,-2.2372451028000944
EBLR_3_4,0.05195760726928711,1.0,0.9962406015037594,-0.3759398496240629
EBLR_3_4_l2,0.06700563430786133,0.9995453572956783,0.9962406015037594,-0.33062589584329616
EBLR_3_4_l1,0.03384757041931152,0.9992511767222935,0.9774436090225564,-2.1823909951519287
EBLR_1_5,0.06537461280822754,1.0,0.9968671679197995,-0.31328320802005427
EBLR_1_5_l2,0.060805320739746094,0.9990372272143774,0.9962406015037594,-0.27993208205222314
EBLR_1_5_l1,0.029676437377929688,0.9991709456568251,0.9774436090225564,-2.1745364723336427
EBLR_2_5,0.0587923526763916,1.0,0.9968671679197995,-0.31328320802005427
EBLR_2_5_l2,0.0677175521850586,0.9995721009841678,0.9956140350877193,-0.3959760273972701
EBLR_2_5_l1,0.03791046142578125,0.9991709456568251,0.9774436090225564,-2.1745364723336427
EBLR_3_5,0.05880093574523926,1.0,0.9968671679197995,-0.31328320802005427
EBLR_3_5_l2,0.07828998565673828,0.9994918699186992,0.9981203007518797,-0.1372266456685666
EBLR_3_5_l1,0.0399630069732666,0.9992511767222935,0.9774436090225564,-2.1823909951519287
