,Run_Time,Train_AUC,Validation_AUC,delta%
GB_50_2_0.01,0.2354114055633545,0.9941030166880616,0.9570802005012532,-3.724243419978043
GB_50_2_0.05,0.2303938865661621,0.9989302524604193,0.9614661654135339,-3.7504207080133316
GB_50_2_0.1,0.24135541915893555,1.0,0.9768170426065164,-2.318295739348364
GB_50_2_0.2,0.23339486122131348,1.0,0.9786967418546367,-2.130325814536327
GB_50_3_0.01,0.3375840187072754,0.9987965340179717,0.9542606516290727,-4.458954438872502
GB_50_3_0.05,0.3696632385253906,0.9996523320496363,0.9573934837092731,-4.227354549728084
GB_50_3_0.1,0.35202932357788086,1.0,0.9645989974937342,-3.5401002506265766
GB_50_3_0.2,0.3258810043334961,1.0,0.9793233082706767,-2.0676691729323293
GB_50_4_0.01,0.4239063262939453,0.9999999999999999,0.912907268170426,-8.709273182957391
GB_50_4_0.05,0.457749605178833,1.0,0.8969298245614035,-10.307017543859654
GB_50_4_0.1,0.42343974113464355,1.0,0.8815789473684211,-11.842105263157887
GB_50_4_0.2,0.4314875602722168,1.0,0.9172932330827068,-8.270676691729317
GB_50_5_0.01,0.41591763496398926,1.0,0.899749373433584,-10.025062656641603
GB_50_5_0.05,0.4038889408111572,1.0,0.8759398496240601,-12.406015037593987
GB_50_5_0.1,0.4034407138824463,1.0,0.893170426065163,-10.682957393483704
GB_50_5_0.2,0.38251495361328125,1.0,0.8759398496240601,-12.406015037593987
GB_100_2_0.01,0.45874547958374023,0.9945309157038938,0.9580200501253133,-3.671164465786307
GB_100_2_0.05,0.4638197422027588,1.0,0.9824561403508771,-1.7543859649122862
GB_100_2_0.1,0.46638941764831543,0.9999999999999999,0.9780701754385965,-2.192982456140336
GB_100_2_0.2,0.4527895450592041,1.0,0.9812030075187971,-1.8796992481202923
GB_100_3_0.01,0.649263858795166,0.9988366495507061,0.9505012531328321,-4.83916929155694
GB_100_3_0.05,0.6633391380310059,1.0,0.9479949874686717,-5.200501253132828
GB_100_3_0.1,0.6637487411499023,0.9999999999999999,0.9843358395989975,-1.5664160401002383
GB_100_3_0.2,0.64444899559021,1.0,0.9956140350877193,-0.43859649122807154
GB_100_4_0.01,0.8554384708404541,0.9999999999999999,0.9122807017543859,-8.771929824561399
GB_100_4_0.05,0.8261234760284424,0.9999999999999999,0.912907268170426,-8.709273182957391
GB_100_4_0.1,0.8088381290435791,1.0,0.8815789473684211,-11.842105263157887
GB_100_4_0.2,0.7137784957885742,1.0,0.9530075187969925,-4.699248120300748
GB_100_5_0.01,0.7699706554412842,1.0,0.8690476190476191,-13.095238095238093
GB_100_5_0.05,0.735499382019043,1.0,0.893170426065163,-10.682957393483704
GB_100_5_0.1,0.7941970825195312,1.0,0.9104010025062657,-8.959899749373434
GB_100_5_0.2,0.6467859745025635,1.0,0.9197994987468672,-8.020050125313283
GB_150_2_0.01,0.675196647644043,0.9974994651262301,0.9523809523809524,-4.52316159784287
GB_150_2_0.05,0.6666381359100342,0.9999999999999999,0.981203007518797,-1.8796992481202925
GB_150_2_0.1,0.6782665252685547,0.9999999999999999,0.9786967418546366,-2.1303258145363273
GB_150_2_0.2,0.6721725463867188,1.0,0.9849624060150377,-1.5037593984962294
GB_150_3_0.01,0.9669146537780762,0.9991040864356012,0.9633458646616542,-3.5790286777344598
GB_150_3_0.05,1.1872928142547607,1.0,0.9849624060150376,-1.5037593984962405
GB_150_3_0.1,1.1240112781524658,1.0,0.9887218045112782,-1.1278195488721776
GB_150_3_0.2,1.1172981262207031,1.0,0.9968671679197996,-0.31328320802004317
GB_150_4_0.01,1.4878559112548828,0.9999999999999999,0.9122807017543859,-8.771929824561399
GB_150_4_0.05,1.2945902347564697,0.9999999999999999,0.912907268170426,-8.709273182957391
GB_150_4_0.1,1.2295305728912354,0.9999999999999999,0.8815789473684211,-11.842105263157878
GB_150_4_0.2,0.747563362121582,1.0,0.9454887218045113,-5.451127819548873
GB_150_5_0.01,1.2733025550842285,1.0,0.9088345864661654,-9.116541353383456
GB_150_5_0.05,1.1170456409454346,1.0,0.8446115288220553,-15.538847117794475
GB_150_5_0.1,1.0979735851287842,1.0,0.9104010025062657,-8.959899749373434
GB_150_5_0.2,0.6597771644592285,1.0,0.9204260651629073,-7.957393483709274
GB_200_2_0.01,0.8838272094726562,0.9982482884039368,0.9633458646616542,-3.4963670008477363
GB_200_2_0.05,0.8654139041900635,1.0,0.9793233082706766,-2.0676691729323404
GB_200_2_0.1,0.8830485343933105,1.0,0.9774436090225563,-2.2556390977443663
GB_200_2_0.2,0.8805577754974365,1.0,0.9805764411027569,-1.942355889724312
GB_200_3_0.01,1.283036470413208,0.9994784980744544,0.9586466165413533,-4.085318654855087
GB_200_3_0.05,1.2555882930755615,1.0,0.987468671679198,-1.2531328320801949
GB_200_3_0.1,1.2799427509307861,1.0,0.9918546365914787,-0.8145363408521344
GB_200_3_0.2,1.289930820465088,1.0,0.9956140350877193,-0.43859649122807154
GB_200_4_0.01,1.6446471214294434,0.9999999999999999,0.912907268170426,-8.709273182957391
GB_200_4_0.05,1.6679503917694092,0.9999999999999999,0.912907268170426,-8.709273182957391
GB_200_4_0.1,1.4012155532836914,1.0,0.961779448621554,-3.8220551378446044
GB_200_4_0.2,0.7743101119995117,1.0,0.955513784461153,-4.448621553884702
GB_200_5_0.01,1.5215682983398438,1.0,0.8928571428571429,-10.71428571428571
GB_200_5_0.05,1.5746755599975586,1.0,0.8446115288220553,-15.538847117794475
GB_200_5_0.1,1.6406567096710205,1.0,0.9398496240601505,-6.015037593984951
GB_200_5_0.2,0.8517236709594727,1.0,0.9197994987468672,-8.020050125313283
GB_250_2_0.01,1.3331806659698486,0.9989837398373984,0.9592731829573935,-3.9750954191174803
GB_250_2_0.05,1.2945590019226074,0.9999999999999999,0.9774436090225564,-2.2556390977443446
GB_250_2_0.1,1.1138064861297607,1.0,0.9799498746867168,-2.0050125313283207
GB_250_2_0.2,1.1220011711120605,1.0,0.9855889724310778,-1.4411027568922208
GB_250_3_0.01,1.581662654876709,0.9995988446726574,0.9470551378446116,-5.256479347497892
GB_250_3_0.05,1.6128385066986084,1.0,0.9906015037593985,-0.9398496240601517
GB_250_3_0.1,1.5794498920440674,1.0,0.9937343358395989,-0.6265664160401085
GB_250_3_0.2,1.5638444423675537,1.0,0.9937343358395991,-0.6265664160400863
GB_250_4_0.01,2.0942623615264893,1.0,0.8963032581453634,-10.369674185463662
GB_250_4_0.05,2.046588897705078,1.0,0.912907268170426,-8.7092731829574
GB_250_4_0.1,1.4249887466430664,1.0,0.961779448621554,-3.8220551378446044
GB_250_4_0.2,0.8238029479980469,1.0,0.9542606516290727,-4.573934837092731
GB_250_5_0.01,1.8847582340240479,1.0,0.8759398496240601,-12.406015037593987
GB_250_5_0.05,1.7939739227294922,1.0,0.8446115288220553,-15.538847117794475
GB_250_5_0.1,1.2587149143218994,1.0,0.9398496240601505,-6.015037593984951
GB_250_5_0.2,0.9300835132598877,1.0,0.9204260651629073,-7.957393483709274
GB_300_2_0.01,1.5930962562561035,0.999170945656825,0.9608395989974938,-3.8363151796946275
GB_300_2_0.05,1.4148468971252441,1.0,0.9824561403508771,-1.7543859649122862
GB_300_2_0.1,1.6256859302520752,0.9999999999999999,0.9830827067669172,-1.6917293233082666
GB_300_2_0.2,1.6599390506744385,1.0,0.9849624060150376,-1.5037593984962405
GB_300_3_0.01,2.338618040084839,0.9999465126230209,0.9426691729323308,-5.728040346922403
GB_300_3_0.05,2.242706775665283,1.0,0.9906015037593985,-0.9398496240601517
GB_300_3_0.1,2.190340995788574,1.0,0.9956140350877193,-0.43859649122807154
GB_300_3_0.2,1.7359018325805664,1.0,0.9924812030075187,-0.7518796992481258
GB_300_4_0.01,2.6174871921539307,1.0,0.8803258145363407,-11.967418546365927
GB_300_4_0.05,2.5238051414489746,1.0,0.912907268170426,-8.7092731829574
GB_300_4_0.1,1.5026137828826904,1.0,0.961779448621554,-3.8220551378446044
GB_300_4_0.2,0.8472681045532227,1.0,0.955513784461153,-4.448621553884702
GB_300_5_0.01,2.3301961421966553,1.0,0.8446115288220553,-15.538847117794475
GB_300_5_0.05,2.247544288635254,1.0,0.893170426065163,-10.682957393483704
GB_300_5_0.1,1.3823800086975098,1.0,0.9404761904761905,-5.952380952380953
GB_300_5_0.2,0.7897450923919678,1.0,0.9197994987468672,-8.020050125313283
GB_350_2_0.01,1.6616606712341309,0.9997058194266153,0.9664786967418546,-3.3236900335158817
GB_350_2_0.05,1.77830171585083,1.0,0.9786967418546366,-2.130325814536338
GB_350_2_0.1,1.8272688388824463,0.9999999999999999,0.9824561403508772,-1.7543859649122642
GB_350_2_0.2,1.9224042892456055,1.0,0.9849624060150376,-1.5037593984962405
GB_350_3_0.01,2.508312940597534,1.0,0.943609022556391,-5.6390977443609
GB_350_3_0.05,2.1885504722595215,1.0,0.9912280701754387,-0.877192982456132
GB_350_3_0.1,2.200026035308838,1.0,0.9931077694235589,-0.6892230576441061
GB_350_3_0.2,1.6433625221252441,1.0,0.9918546365914788,-0.8145363408521233
GB_350_4_0.01,2.933807611465454,1.0,0.943609022556391,-5.6390977443609
GB_350_4_0.05,2.840898036956787,0.9999999999999999,0.949874686716792,-5.012531328320791
GB_350_4_0.1,1.5413179397583008,1.0,0.961779448621554,-3.8220551378446044
GB_350_4_0.2,0.8991632461547852,1.0,0.9517543859649122,-4.824561403508776
GB_350_5_0.01,2.744719982147217,1.0,0.9104010025062657,-8.959899749373434
GB_350_5_0.05,2.4031713008880615,1.0,0.9197994987468672,-8.020050125313283
GB_350_5_0.1,1.3061187267303467,1.0,0.9561403508771931,-4.385964912280693
GB_350_5_0.2,0.8005862236022949,1.0,0.9197994987468672,-8.020050125313283
