,Run_Time,Train_AUC,Validation_AUC,delta%
RERF_1_5,0.036981821060180664,1.0,0.9771303258145364,-2.2869674185463595
RERF_1_5_l2,0.024904727935791016,0.999170945656825,0.9974937343358397,-0.16786029740714262
RERF_1_5_l1,0.017277002334594727,0.9991976893453145,0.9649122807017544,-3.4312938279535348
RERF_1_5_en_0.25,0.13663268089294434,0.9990907145913563,0.9943609022556391,-0.4734116999227441
RERF_1_5_en_0.5,0.14159488677978516,0.9992511767222936,0.9962406015037595,-0.3012831296740897
RERF_1_5_en_0.75,0.27429652214050293,0.9992511767222936,0.9931077694235589,-0.614801107253735
RERF_2_5,0.03087449073791504,1.0,0.9805764411027569,-1.942355889724312
RERF_2_5_l2,0.02916693687438965,0.9994651262302097,0.9962406015037594,-0.3226250363144318
RERF_2_5_l1,0.021317481994628906,0.9995988446726572,0.9981203007518796,-0.14791372845792
RERF_2_5_en_0.25,0.14059758186340332,0.9994651262302097,0.9956140350877193,-0.38531520924756596
RERF_2_5_en_0.5,0.14663457870483398,0.999170945656825,0.9949874686716792,-0.4186948192729593
RERF_2_5_en_0.75,0.2832159996032715,0.9994383825417201,0.9987468671679197,-0.06919039591433188
RERF_3_5,0.07775735855102539,1.0,0.9711779448621554,-2.8822055137844638
RERF_3_5_l2,0.03291153907775879,0.999893025246042,0.9962406015037594,-0.36528145012151064
RERF_3_5_l1,0.0329127311706543,0.9999197689345314,0.962406015037594,-3.7516763906878525
RERF_3_5_en_0.25,0.15860342979431152,0.9997593068035944,0.9931077694235589,-0.6653138745266161
RERF_3_5_en_0.5,0.15256500244140625,0.999839537869063,0.9943609022556391,-0.5479514868056106
RERF_3_5_en_0.75,0.28287243843078613,0.9998930252460418,0.9956140350877193,-0.42794479512142175
RERF_4_5,0.03974509239196777,1.0,0.9592731829573935,-4.07268170426065
RERF_4_5_l2,0.034535884857177734,0.999839537869063,0.9968671679197995,-0.29728469786246714
RERF_4_5_l1,0.03091716766357422,0.9999732563115106,0.9974937343358397,-0.24795882890077006
RERF_4_5_en_0.25,0.14963030815124512,1.0,0.9899749373433584,-1.0025062656641603
RERF_4_5_en_0.5,0.15785956382751465,0.9998662815575525,0.9906015037593985,-0.9266016835492978
RERF_4_5_en_0.75,0.28478336334228516,0.9999197689345315,0.9981203007518797,-0.17996125674854732
RERF_5_5,0.042321205139160156,1.0,0.9279448621553886,-7.205513784461138
RERF_5_5_l2,0.04107093811035156,1.0,0.9918546365914787,-0.8145363408521344
RERF_5_5_l1,0.03488016128540039,1.0,0.9880952380952381,-1.1904761904761862
RERF_5_5_en_0.25,0.15558266639709473,0.9999732563115106,0.9981203007518797,-0.1853005115822418
RERF_5_5_en_0.5,0.16158294677734375,0.999893025246042,0.9906015037593985,-0.9292515551208215
RERF_5_5_en_0.75,0.29024219512939453,0.9999197689345315,0.9981203007518797,-0.17996125674854732
RERF_7_5,0.048569440841674805,1.0,0.9849624060150376,-1.5037593984962405
RERF_7_5_l2,0.04983234405517578,1.0,0.961779448621554,-3.8220551378446044
RERF_7_5_l1,0.04309225082397461,1.0,0.994360902255639,-0.5639097744360999
RERF_7_5_en_0.25,0.16260838508605957,1.0,0.9943609022556391,-0.5639097744360888
RERF_7_5_en_0.5,0.16839122772216797,1.0,0.9918546365914787,-0.8145363408521344
RERF_7_5_en_0.75,0.298229455947876,1.0,0.9962406015037594,-0.3759398496240629
RERF_10_5,0.049173831939697266,1.0,0.968671679197995,-3.1328320802004983
RERF_10_5_l2,0.058707237243652344,1.0,0.993734335839599,-0.6265664160400974
