,Run_Time,Train_AUC,Validation_AUC,delta%
XGB_10_1_0.01,0.03789877891540527,0.9824828840393668,0.9432957393483709,-3.9885829389599583
XGB_10_1_0.05,0.016953706741333008,0.9905059905862216,0.9429824561403508,-4.797904797904796
XGB_10_1_0.1,0.015956878662109375,0.991094351732991,0.9436090225563909,-4.791201674549855
XGB_10_1_0.2,0.014961004257202148,0.9920303808301241,0.9595864661654135,-3.270455753337079
XGB_10_2_0.01,0.01795172691345215,0.9901716944801027,0.9414160401002506,-4.923959617473372
XGB_10_2_0.05,0.019946813583374023,0.9936350021394951,0.9577067669172933,-3.6158383254254436
XGB_10_2_0.1,0.01595616340637207,0.9944239409499359,0.9598997493734336,-3.4717779967689295
XGB_10_2_0.2,0.016955852508544922,0.9983017757809157,0.9642857142857144,-3.4073926662699208
XGB_10_3_0.01,0.017992734909057617,0.9956675224646983,0.9570802005012532,-3.8755228118644576
XGB_10_3_0.05,0.02097773551940918,0.9955872913992296,0.9577067669172933,-3.804842107686798
XGB_10_3_0.1,0.0189971923828125,0.9981680573384681,0.9561403508771931,-4.210484011413714
XGB_10_3_0.2,0.017963647842407227,0.9992378048780488,0.9548872180451128,-4.438441641862095
XGB_25_1_0.01,0.02502155303955078,0.9849700470688918,0.9432957393483709,-4.231022846282159
XGB_25_1_0.05,0.020981311798095703,0.9920437526743688,0.9436090225563909,-4.882317940857623
XGB_25_1_0.1,0.02198505401611328,0.9952663671373556,0.9639724310776943,-3.1442774610852005
XGB_25_1_0.2,0.02497696876525879,0.9981680573384681,0.9714912280701754,-2.672578938202478
XGB_25_2_0.01,0.02496933937072754,0.9901449507916132,0.9420426065162907,-4.858111353985607
XGB_25_2_0.05,0.02500128746032715,0.9945710312366283,0.9595864661654135,-3.5175531935326596
XGB_25_2_0.1,0.02397465705871582,0.9982215447154471,0.9652255639097744,-3.3054767231134554
XGB_25_2_0.2,0.024483203887939453,0.9997593068035944,0.9855889724310778,-1.4173745896721504
XGB_25_3_0.01,0.02747631072998047,0.9955872913992296,0.9577067669172933,-3.804842107686798
XGB_25_3_0.05,0.0360264778137207,0.9987296747967479,0.9561403508771931,-4.264349502604117
XGB_25_3_0.1,0.03297305107116699,0.9995186136071887,0.9517543859649122,-4.778723176539848
XGB_25_3_0.2,0.025985002517700195,1.0,0.9658521303258145,-3.4147869674185483
XGB_50_1_0.01,0.03198504447937012,0.9902786692340608,0.9426691729323308,-4.807686743222896
XGB_50_1_0.05,0.027984619140625,0.9952128797603765,0.9633458646616542,-3.2020300125532115
XGB_50_1_0.1,0.028995037078857422,0.9982215447154471,0.9727443609022557,-2.5522574570812275
XGB_50_1_0.2,0.0289609432220459,0.9995988446726572,0.9830827067669172,-1.6522766101384034
XGB_50_2_0.01,0.03795742988586426,0.9940495293110826,0.9583333333333334,-3.5929996367989854
XGB_50_2_0.05,0.036982059478759766,0.9984354942233633,0.9667919799498748,-3.1693098308872294
XGB_50_2_0.1,0.03498220443725586,0.9996523320496362,0.9821428571428572,-1.751556450719069
XGB_50_2_0.2,0.03398704528808594,1.0,0.9899749373433584,-1.0025062656641603
XGB_50_3_0.01,0.050977230072021484,0.9955872913992297,0.9577067669172933,-3.8048421076868086
XGB_50_3_0.05,0.050948143005371094,0.9995186136071887,0.949874686716792,-4.966783631095724
XGB_50_3_0.1,0.04897332191467285,1.0,0.986842105263158,-1.3157894736842035
XGB_50_3_0.2,0.042975425720214844,0.9999999999999999,0.9774436090225563,-2.2556390977443557
XGB_75_1_0.01,0.04598355293273926,0.9914286478391099,0.9426691729323308,-4.91810227725958
XGB_75_1_0.05,0.03797721862792969,0.9971384253316218,0.9730576441102756,-2.4149887928887637
XGB_75_1_0.1,0.042928457260131836,0.9993046640992727,0.9793233082706766,-1.9995259250197073
XGB_75_1_0.2,0.041887521743774414,0.9998395378690629,0.9843358395989975,-1.5506186425781958
XGB_75_2_0.01,0.05984067916870117,0.9940629011553274,0.9583333333333334,-3.594296475652406
XGB_75_2_0.05,0.05286002159118652,0.9994116388532307,0.9777568922305765,-2.166749493482168
XGB_75_2_0.1,0.0468745231628418,1.0,0.9855889724310778,-1.4411027568922208
XGB_75_2_0.2,0.04188656806945801,1.0,0.9887218045112782,-1.1278195488721776
XGB_75_3_0.01,0.06283211708068848,0.9984354942233633,0.9561403508771931,-4.2361418029383735
