,Run_Time,Train_AUC,Validation_AUC,delta%
EBLR_1_1,0.11369466781616211,0.9052874422003923,0.901031454248366,-0.4701255925611539
EBLR_1_1_l2,0.05684661865234375,0.9052707631997944,0.901027369281046,-0.4687430646439503
EBLR_1_1_l1,0.9822580814361572,0.905254842335587,0.9009620098039217,-0.47421260079532834
EBLR_2_1,0.06485128402709961,0.9052847887230244,0.9010457516339868,-0.468254536234626
EBLR_2_1_l2,0.06180691719055176,0.9052700050634035,0.9010355392156862,-0.4677572242571625
EBLR_2_1_l1,0.4926764965057373,0.9052551266367336,0.9009620098039217,-0.47424385750367914
EBLR_3_1,0.07878828048706055,0.9119067310286555,0.9125612745098038,0.07177745912786586
EBLR_3_1_l2,0.06981229782104492,0.9115294634071729,0.9113500816993464,-0.019679200182514532
EBLR_3_1_l1,0.7024073600769043,0.9118723305899219,0.9124101307189542,0.05897756856865483
EBLR_1_2,0.09275031089782715,0.90528431488778,0.9010437091503268,-0.4684280582038901
EBLR_1_2_l2,0.08876180648803711,0.9052707631997943,0.9010437091503268,-0.4669380942477784
EBLR_1_2_l1,1.0587255954742432,0.9052530417616588,0.900968137254902,-0.4733377640375762
EBLR_2_2,0.09880256652832031,0.9057562547910666,0.9009783496732024,-0.5275045126755726
EBLR_2_2_l2,0.11526346206665039,0.9057527484102592,0.9010130718954248,-0.523285910327439
EBLR_2_2_l1,0.8071153163909912,0.9057536013136986,0.9009293300653595,-0.5326251246853543
EBLR_3_2,0.13338422775268555,0.91220951174974,0.911983251633987,-0.024803525159368185
EBLR_3_2_l2,0.12430191040039062,0.9116818488217282,0.9112418300653594,-0.04826450772684292
EBLR_3_2_l1,0.4158823490142822,0.9120890628306482,0.9122549019607844,0.018182339520831224
EBLR_1_3,0.1104276180267334,0.9052849782571221,0.9010437091503268,-0.4685009923571947
EBLR_1_3_l2,0.10545635223388672,0.9052689626258661,0.901047794117647,-0.46628888015501535
EBLR_1_3_l1,2.2933859825134277,0.9052549371026358,0.9009599673202615,-0.4744486449442429
EBLR_2_3,0.14388775825500488,0.9057519902738682,0.9010580065359478,-0.5182416145175794
EBLR_2_3_l2,0.13991212844848633,0.9057642152231703,0.9011499183006536,-0.5094368760615896
EBLR_2_3_l1,1.13730788230896,0.9057392914893221,0.9010151143790849,-0.521582441506889
EBLR_3_3,0.21449661254882812,0.9124288027007852,0.9115706699346405,-0.09404928511732531
EBLR_3_3_l2,0.25933337211608887,0.9117490386593647,0.9111989379084967,-0.06033466749544371
EBLR_3_3_l1,0.934673547744751,0.9123582012493899,0.9118239379084967,-0.05855850697254798
EBLR_1_4,0.13182520866394043,0.9052777759614093,0.9010661764705883,-0.46522731504684534
EBLR_1_4_l2,0.12696552276611328,0.9052699102963547,0.9010580065359476,-0.4652649682157566
EBLR_1_4_l1,2.355058431625366,0.905253515596903,0.9009620098039216,-0.47406673589681814
EBLR_2_4,0.5671632289886475,0.9057619408139977,0.9010641339869281,-0.5186580066333762
EBLR_2_4_l2,0.29499077796936035,0.9057577710638482,0.9011131535947712,-0.5127880342248442
EBLR_2_4_l1,2.9489235877990723,0.9057385333529312,0.9010130718954249,-0.5217246791977843
EBLR_3_4,0.32114076614379883,0.9124430177581129,0.9117238562091504,-0.07881714638240601
EBLR_3_4_l2,0.268280029296875,0.9120684983810472,0.9113174019607843,-0.08235087842592569
EBLR_3_4_l1,1.3060033321380615,0.9123756383863787,0.9119914215686276,-0.04211169189377531
EBLR_1_5,0.30019307136535645,0.9052843148877803,0.9010580065359477,-0.4668487327493873
EBLR_1_5_l2,0.1715400218963623,0.9052700998304521,0.9010682189542484,-0.4641577002256826
EBLR_1_5_l1,4.382223606109619,0.905254842335587,0.9009640522875818,-0.4739869755277714
EBLR_2_5,0.3770115375518799,0.9057607088423627,0.9010620915032681,-0.5187481962095513
EBLR_2_5_l2,0.4089024066925049,0.905762983251535,0.9011090686274509,-0.513811527975828
EBLR_2_5_l1,2.3145856857299805,0.9057381542847357,0.9010232843137254,-0.5205555213397945
EBLR_3_5,0.42785072326660156,0.9125402487502358,0.9113868464052288,-0.1263946819426949
EBLR_3_5_l2,0.3261237144470215,0.912035140379851,0.911437908496732,-0.06548342894663672
EBLR_3_5_l1,1.4862349033355713,0.9124542950369264,0.9117075163398691,-0.08184286063633277
