,Run_Time,Train_AUC,Validation_AUC,delta%
GB_50_3_0.01,0.6456804275512695,0.8898297045608821,0.8843647875816995,-0.614153129657485
GB_50_3_0.05,0.7419881820678711,0.9168793949995788,0.9097344771241829,-0.7792647445631857
GB_50_3_0.1,0.7049152851104736,0.925553612515164,0.9165900735294117,-0.9684516233904765
GB_50_3_0.2,0.748997688293457,0.9323405916363721,0.9192555147058823,-1.403465326713262
GB_50_3_0.5,0.6636333465576172,0.945782491996212,0.91593954248366,-3.1553713211125376
GB_50_3_0.7,0.828629732131958,0.9509526978804685,0.9103941993464053,-4.265038484507386
GB_50_4_0.01,1.0157289505004883,0.9105371102551121,0.9054279003267974,-0.561120449762137
GB_50_4_0.05,0.8796753883361816,0.9266615814668253,0.9150816993464053,-1.2496344244778224
GB_50_4_0.1,0.848905086517334,0.9349229463340836,0.9197896241830066,-1.6186705236421994
GB_50_4_0.2,1.0312418937683105,0.9448768033103268,0.9184119689542484,-2.8008767135948527
GB_50_4_0.5,1.1123626232147217,0.9650338493683445,0.9085406454248366,-5.854012683646804
GB_50_4_0.7,0.8495662212371826,0.9693569326029069,0.8993270016339868,-7.224369952240033
GB_50_5_0.01,1.124309778213501,0.9201314210480079,0.9076930147058825,-1.3518075850467535
GB_50_5_0.05,1.1127173900604248,0.9343143049628271,0.9153860294117646,-2.0259002190719486
GB_50_5_0.1,1.10737943649292,0.9456984336238796,0.9177634803921569,-2.9538965317598156
GB_50_5_0.2,1.100370168685913,0.959897333169955,0.9172395833333334,-4.4439908688723
GB_50_5_0.5,1.1005866527557373,0.9831494710435018,0.9018555964052288,-8.268719765671921
GB_50_5_0.7,1.1105585098266602,0.989027255098017,0.899858047385621,-9.015849386633832
GB_50_6_0.01,1.3832616806030273,0.9292767255634398,0.9079738562091504,-2.2924139568192676
GB_50_6_0.05,1.6355228424072266,0.9443669092039748,0.9155739379084966,-3.048917853310675
GB_50_6_0.1,1.6234052181243896,0.959322097183419,0.9162152777777778,-4.493466744089742
GB_50_6_0.2,1.7023990154266357,0.9785490520404719,0.913767361111111,-6.62017819078952
GB_50_6_0.5,1.5319550037384033,0.9958819452756305,0.8993055555555556,-9.69757411289803
GB_50_6_0.7,1.5852701663970947,0.9976230528806765,0.8811856617647058,-11.671481606179118
GB_100_3_0.01,1.3317091464996338,0.8969695014049688,0.8903553921568627,-0.7373839620796595
GB_100_3_0.05,1.2888944149017334,0.9258972852178282,0.9172681781045752,-0.9319723959686246
GB_100_3_0.1,1.284186601638794,0.9326200596634386,0.9203125000000001,-1.3196756316693496
GB_100_3_0.2,1.323822021484375,0.9425910694755242,0.9200939542483659,-2.386731208866224
GB_100_3_0.5,1.6399223804473877,0.9607215221938269,0.9113694852941175,-5.136976299543387
GB_100_3_0.7,1.6511259078979492,0.9665471369879487,0.9054033905228758,-6.325997369938439
GB_100_4_0.01,2.015293836593628,0.9158862363276024,0.908469158496732,-0.8098252312001449
GB_100_4_0.05,1.7085514068603516,0.9345499432297995,0.9189756944444445,-1.6664972159251803
GB_100_4_0.1,1.7220022678375244,0.9445554956311916,0.9198039215686273,-2.6204467791513077
GB_100_4_0.2,1.6156988143920898,0.960815341572191,0.9173611111111111,-4.522641196587819
GB_100_4_0.5,1.9183452129364014,0.9829999286404123,0.898578431372549,-8.588148870430409
GB_100_4_0.7,1.6770083904266357,0.9885975812985188,0.8853982843137255,-10.438959080725395
GB_100_5_0.01,2.057910919189453,0.9248489721234197,0.9115175653594771,-1.4414685171065373
GB_100_5_0.05,2.6841299533843994,0.945247816306585,0.9184466911764705,-2.835354355520859
GB_100_5_0.1,2.5268008708953857,0.9600879570887221,0.9181975081699347,-4.363188665110632
GB_100_5_0.2,2.2449326515197754,0.9795375671270545,0.9166156045751633,-6.423639548245083
GB_100_5_0.5,2.109225273132324,0.9973862774091181,0.8907751225490197,-10.689053707159395
GB_100_5_0.7,2.1160101890563965,0.999038114454145,0.8778809232026143,-12.1273842808018
GB_100_6_0.01,2.52048659324646,0.933826065127138,0.9110774101307192,-2.4360698256287794
GB_100_6_0.05,2.5276834964752197,0.9590187478600415,0.9171272467320262,-4.3681628979091585
GB_100_6_0.1,2.5616931915283203,0.9771867757132144,0.914157475490196,-6.4500770773341225
GB_100_6_0.2,2.551915407180786,0.993907995031553,0.9117289624183007,-8.26827362533123
GB_100_6_0.5,2.5925230979919434,0.9998927237006988,0.8946752450980392,-10.522876715538006
GB_100_6_0.7,2.691603660583496,0.9999938401418245,0.8852318218954247,-11.476272516851063
GB_150_3_0.01,1.9198846817016602,0.9024748509574931,0.8942156862745098,-0.9151684032215084
GB_150_3_0.05,1.945852279663086,0.9299525093888085,0.9201828022875818,-1.0505597869344578
GB_150_3_0.1,1.955610990524292,0.9376906653793511,0.9207475490196078,-1.8068982645666882
GB_150_3_0.2,1.902512550354004,0.9495418060571496,0.9193372140522875,-3.180964946691786
GB_150_3_0.5,1.886101245880127,0.9722474697434873,0.9040584150326798,-7.013549207672213
GB_150_3_0.7,1.8962862491607666,0.9779197514525656,0.8980657679738562,-8.16569901161085
GB_150_4_0.01,2.5423743724823,0.9193389316019773,0.9100827205882352,-1.0068333555300257
GB_150_4_0.05,2.471388339996338,0.9396806312546844,0.9205422794117648,-2.036686849378344
GB_150_4_0.1,2.498359441757202,0.9532714106482721,0.9197691993464052,-3.514446245595863
GB_150_4_0.2,2.533627986907959,0.9712995623373384,0.9136417483660131,-5.936151544491316
GB_150_4_0.5,2.5527548789978027,0.9927239281396631,0.8963643790849674,-9.706580684044846
GB_150_4_0.7,2.5462183952331543,0.9963030426572074,0.8809334150326797,-11.579772688119977
GB_150_5_0.01,3.1059393882751465,0.9272914506570247,0.9131597222222223,-1.5239791572314672
GB_150_5_0.05,3.615241289138794,0.9541529337366997,0.9181280637254902,-3.7755865687198846
GB_150_5_0.1,4.264866590499878,0.9710524098739304,0.918031045751634,-5.460195925900648
GB_150_5_0.2,3.31919527053833,0.9896415351086804,0.9100949754901961,-8.03791643706108
GB_150_5_0.5,3.145808458328247,0.9995990406163042,0.8910641339869281,-10.857844217463313
GB_150_5_0.7,3.13030743598938,0.9999353688726824,0.8877859477124184,-11.215666997228055
GB_150_6_0.01,3.7517142295837402,0.9369467440458574,0.9137326388888889,-2.4776333665163315
GB_150_6_0.05,3.8058953285217285,0.9694206160597358,0.9175132761437909,-5.354470397681996
GB_150_6_0.1,3.7841522693634033,0.9874241283161004,0.911187704248366,-7.720737409743452
GB_150_6_0.2,4.00492787361145,0.9985959314041984,0.9082546977124184,-9.046825733081514
GB_150_6_0.5,4.105942010879517,0.9999975360567298,0.8965482026143792,-10.34495883362676
GB_150_6_0.7,4.076396465301514,0.9999995261647557,0.8913419117647059,-10.86576658858815
