,Run_Time,Train_AUC,Validation_AUC,delta%
RERF_1_5,0.06980681419372559,0.9106536263416763,0.9078962418300653,-0.30279180051015764
RERF_1_5_l2,0.04787182807922363,0.9105461605082774,0.907765522875817,-0.30538129235625
RERF_1_5_l1,0.19448041915893555,0.910658933296412,0.9078513071895425,-0.3083070954683762
RERF_1_5_en_0.25,0.5779843330383301,0.9106720111491537,0.9078982843137255,-0.304580222239191
RERF_1_5_en_0.5,0.20644879341125488,0.9105470134117171,0.9077614379084967,-0.3059233034857916
RERF_1_5_en_0.75,0.22739171981811523,0.9107911333295615,0.9080004084967319,-0.306406675548938
RERF_2_5,0.054854631423950195,0.9216495417871038,0.9188419117647058,-0.304630979032872
RERF_2_5_l2,0.06781816482543945,0.921727156000114,0.9188541666666666,-0.31169628829369306
RERF_2_5_l1,0.13364410400390625,0.9215370533001156,0.9191768790849674,-0.25611278534012355
RERF_2_5_en_0.25,0.4755134582519531,0.9216320098830659,0.9189501633986927,-0.2909888605880194
RERF_2_5_en_0.5,0.25232577323913574,0.9213362419235968,0.9181801470588234,-0.342556248322969
RERF_2_5_en_0.75,0.23238015174865723,0.9218262823332141,0.9190400326797387,-0.3022532235057552
RERF_3_5,0.07480072975158691,0.9228390577843028,0.919624183006536,-0.3483678709357508
RERF_3_5_l2,0.09474515914916992,0.9229178092018995,0.9192585784313725,-0.39648501026232635
RERF_3_5_l1,0.34339427947998047,0.9225447113305661,0.9198876633986928,-0.2880129167984907
RERF_3_5_en_0.25,0.40476274490356445,0.9226720782442241,0.9198141339869281,-0.30974647707281583
RERF_3_5_en_0.5,0.33734750747680664,0.9227799231458188,0.919889705882353,-0.3132076447451184
RERF_3_5_en_0.75,0.22040796279907227,0.9226787119376441,0.9202410130718954,-0.26419801759915
RERF_4_5,0.08976149559020996,0.9253268823507839,0.9212683823529412,-0.43860176065912093
RERF_4_5_l2,0.07579684257507324,0.9255712865697749,0.9200183823529412,-0.599943440057778
RERF_4_5_l1,0.17154145240783691,0.9256992220857263,0.9205044934640524,-0.5611680876180803
RERF_4_5_en_0.25,0.4004974365234375,0.9257781630374204,0.9206188725490195,-0.5572923076381067
RERF_4_5_en_0.5,0.2181072235107422,0.9255959260024765,0.9213950163398693,-0.45385999922778203
RERF_4_5_en_0.75,0.17416095733642578,0.9254105616549209,0.9196466503267973,-0.6228490971419145
RERF_5_5,0.09476256370544434,0.9280315339250397,0.9196180555555556,-0.9065940177592731
RERF_5_5_l2,0.0936744213104248,0.9277571833186113,0.9191584967320262,-0.9268251155789937
RERF_5_5_l1,0.18450284004211426,0.9276912254526098,0.920283905228758,-0.798468285634358
RERF_5_5_en_0.25,0.4687192440032959,0.9276450738998184,0.9188419117647059,-0.9489795594023999
RERF_5_5_en_0.5,0.32663798332214355,0.9265876631687201,0.9186499183006536,-0.856664208211152
RERF_5_5_en_0.75,0.24147939682006836,0.9275637637719029,0.9192299836601305,-0.8984589995067644
RERF_7_5,0.11768531799316406,0.9331552091883097,0.9189644607843137,-1.5207275557449476
RERF_7_5_l2,0.1595470905303955,0.9343843378119293,0.9168607026143791,-1.8754204761806803
RERF_7_5_l1,0.24488592147827148,0.9346795371691055,0.9204636437908496,-1.5209376917902844
RERF_7_5_en_0.25,0.45776987075805664,0.9353827086715923,0.9184068627450981,-1.814855648828803
RERF_7_5_en_0.5,0.2772328853607178,0.9320203737782987,0.9177961601307189,-1.5261698185755972
RERF_7_5_en_0.75,0.20300054550170898,0.9329261572312328,0.9186213235294117,-1.5333296843423756
RERF_10_5,0.14268279075622559,0.9532131289132275,0.9108680555555555,-4.442351041256667
RERF_10_5_l2,0.14989495277404785,0.9557809368689403,0.9120343137254902,-4.577055416773687
RERF_10_5_l1,0.3749973773956299,0.9501728124519353,0.9121364379084967,-4.003100703890392
RERF_10_5_en_0.25,0.4896845817565918,0.951299592662794,0.9072181372549019,-4.633814178822801
RERF_10_5_en_0.5,0.26778578758239746,0.9560073353486495,0.9094485294117647,-4.870130616718029
RERF_10_5_en_0.75,0.2842421531677246,0.9465309147645262,0.9132965686274509,-3.5111738685622558
RERF_15_5,0.2348637580871582,0.9815939647036335,0.8952900326797386,-8.792223172434854
RERF_15_5_l2,0.2294003963470459,0.9863881349380427,0.892173202614379,-9.55150705757237
RERF_15_5_l1,0.4996662139892578,0.9829989809699237,0.8953533496732026,-8.916146709556227
RERF_15_5_en_0.25,0.6458041667938232,0.9808469160575277,0.8993566176470588,-8.308156663020945
RERF_15_5_en_0.5,0.3604133129119873,0.9819911334053752,0.8961866830065359,-8.737802967862281
RERF_15_5_en_0.75,0.29483914375305176,0.9805518114674006,0.8985723039215686,-8.360548273644941
RERF_20_5,0.2527036666870117,0.9938529353761698,0.8900674019607843,-10.442745573428637
RERF_20_5_l2,0.25728416442871094,0.993998876631403,0.8928329248366013,-10.177672648649914
RERF_20_5_l1,0.5140597820281982,0.9938398575234281,0.8845138888888888,-11.000360652366178
RERF_20_5_en_0.25,0.6723995208740234,0.9940944965836952,0.8889869281045751,-10.573196898316276
RERF_20_5_en_0.5,0.5086381435394287,0.9942473558334947,0.8825490196078432,-11.234461481872675
RERF_20_5_en_0.75,0.3496842384338379,0.9940372572861882,0.8963337418300654,-9.828959099869378
RERF_1_10,0.06784772872924805,0.9106631978136106,0.9079575163398693,-0.29711110323084206
RERF_1_10_l2,0.0665132999420166,0.9106200788063825,0.9078533496732027,-0.3038291377021168
RERF_1_10_l1,0.1547248363494873,0.9105852045324047,0.907765522875817,-0.3096559929321027
RERF_1_10_en_0.25,0.4384331703186035,0.9106117393060834,0.9078492647058823,-0.3033647031945984
RERF_1_10_en_0.5,0.22100067138671875,0.9104914799210894,0.9075183823529412,-0.3265376594634134
RERF_1_10_en_0.75,0.1977250576019287,0.9106675570978577,0.9078656045751635,-0.30768116211623514
RERF_2_10,0.08075809478759766,0.9216230070134248,0.9192871732026142,-0.25344786241610934
RERF_2_10_l2,0.08277249336242676,0.9217946301388972,0.9190093954248366,-0.30215349742717373
RERF_2_10_l1,0.243117094039917,0.9217964307128254,0.9191687091503268,-0.2850652785091126
RERF_2_10_en_0.25,0.400775671005249,0.9217360641027061,0.9192075163398693,-0.2743244906336976
RERF_2_10_en_0.5,0.21439909934997559,0.9219070238588364,0.9190073529411764,-0.3145296480682818
RERF_2_10_en_0.75,0.1875314712524414,0.9216491627189081,0.9188459967320262,-0.30414675130962365
RERF_3_10,0.11192488670349121,0.9234858428927226,0.9202389705882352,-0.3515887470799665
RERF_3_10_l2,0.10425281524658203,0.9228097747662072,0.9201225490196079,-0.291200399050834
RERF_3_10_l1,0.26418018341064453,0.9227925271633161,0.9202267156862745,-0.27804857554806617
RERF_3_10_en_0.25,0.4866914749145508,0.9234689743580267,0.9203186274509805,-0.34114269071532494
RERF_3_10_en_0.5,0.2503623962402344,0.922774521424034,0.9197651143790848,-0.3261259359767634
RERF_3_10_en_0.75,0.18051457405090332,0.9227067629841044,0.9200796568627451,-0.2847173367260297
RERF_4_10,0.12061238288879395,0.9255185960906129,0.9206495098039216,-0.5260927557002487
RERF_4_10_l2,0.12519478797912598,0.9260127114833309,0.9210375816993464,-0.5372636598060423
RERF_4_10_l1,0.2530179023742676,0.9263774698543648,0.9216033496732026,-0.5153536583648484
