,Run_Time,Train_AUC,Validation_AUC,delta%
XGB_50_3_0.05,0.18647193908691406,0.91511620667215,0.9076746323529412,-0.8131835350474564
XGB_50_3_0.1,0.19946789741516113,0.9244858247922161,0.9160508578431372,-0.9123954876187171
XGB_50_3_0.2,0.17353582382202148,0.9316841402889694,0.9219444444444445,-1.0453860298087823
XGB_50_3_0.5,0.1678156852722168,0.9415737925896148,0.921375612745098,-2.145151023051058
XGB_50_4_0.05,0.213975191116333,0.9245119804976993,0.9151031454248365,-1.0177082905726873
XGB_50_4_0.1,0.22698712348937988,0.9318570427696011,0.9194546568627451,-1.3309322500793186
XGB_50_4_0.2,0.44690394401550293,0.9394780193042372,0.9204146241830066,-2.029147540391496
XGB_50_4_0.5,0.20997214317321777,0.95622700536789,0.9136141748366013,-4.456350876107515
XGB_50_5_0.05,0.2549281120300293,0.929614380558502,0.9163827614379085,-1.4233449263816296
XGB_50_5_0.1,0.2599456310272217,0.9389156716363455,0.9198815359477126,-2.0272465636301633
XGB_50_5_0.2,0.2629427909851074,0.9500016631617074,0.9197150735294118,-3.1880564852379902
XGB_50_5_0.5,0.25601673126220703,0.9746278758600939,0.9128523284313724,-6.338372722430654
XGB_50_6_0.05,0.24393677711486816,0.9375356264874279,0.9150357434640524,-2.399896322625484
XGB_50_6_0.1,0.23992586135864258,0.9492825234114887,0.9186213235294116,-3.2299340950561497
XGB_50_6_0.2,0.24507808685302734,0.9635552938721447,0.9171578839869281,-4.815230654668906
XGB_50_6_0.5,0.23198246955871582,0.987970223435114,0.905421772875817,-8.355358147564495
XGB_100_3_0.05,0.23897171020507812,0.9236141100933445,0.9145710784313725,-0.9790919782568098
XGB_100_3_0.1,0.2440340518951416,0.9312816646324921,0.9208486519607844,-1.1202854161017812
XGB_100_3_0.2,0.2560422420501709,0.9382994489011808,0.9212734885620916,-1.8145550824982246
XGB_100_3_0.5,0.23802828788757324,0.9533031576096376,0.9152134395424837,-3.995551442697625
XGB_100_4_0.05,0.2949652671813965,0.9319866367089074,0.919420955882353,-1.3482683475942492
XGB_100_4_0.1,0.299022912979126,0.939189358873432,0.9207230392156864,-1.9661977090430562
XGB_100_4_0.2,0.30408549308776855,0.9510194138828608,0.9193341503267974,-3.331715745601606
XGB_100_4_0.5,0.3009793758392334,0.9746350781558066,0.9102839052287581,-6.602591510333597
XGB_100_5_0.05,0.42299818992614746,0.9389139658294661,0.9197140522875817,-2.0449065878919503
XGB_100_5_0.1,0.3500397205352783,0.9501577918746922,0.9199948937908496,-3.174514627126318
XGB_100_5_0.2,0.37594056129455566,0.9647466578267963,0.918516135620915,-4.791985733334471
XGB_100_5_0.5,0.35091400146484375,0.9876179743145287,0.9082475490196078,-8.036551314288214
