,Run_Time,Train_RMSE,Validation_RMSE,delta%
RERF_1_5,0.5429234504699707,0.48099228960002743,0.29367746470453815,-38.943415299079376
RERF_1_5_l2,0.21181511878967285,0.4811552451332543,0.29446393821198724,-38.80063842379263
RERF_1_5_l1,0.22228360176086426,0.7578138850022998,1.0296271409932414,35.8680754431039
RERF_1_5_en_0.25,5.229283332824707,1.2317778619633168,0.7623985581210236,-38.105840211655924
RERF_1_5_en_0.5,3.743870973587036,1.2196988663785837,0.8792564265993994,-27.912007558881673
RERF_1_5_en_0.75,3.179438829421997,1.1041969368652913,1.071957774448083,-2.9196931580640073
RERF_2_5,0.6009342670440674,0.48076129758395225,0.2936547921381716,-38.91879533275189
RERF_2_5_l2,0.3505418300628662,0.48071298710715077,0.2943614840609531,-38.765647703347774
RERF_2_5_l1,0.3750295639038086,0.5534027357464857,0.6538333110346053,18.1478277574195
RERF_2_5_en_0.25,5.018266201019287,1.1311645084163637,0.7471367792027472,-33.94976825707318
RERF_2_5_en_0.5,3.772026777267456,1.1295677940342639,0.6795020689212563,-39.84406491491696
RERF_2_5_en_0.75,3.4875011444091797,0.9893865225508953,0.7472440634406635,-24.474000159808693
RERF_3_5,0.6911673545837402,0.4796122363931748,0.3148069167835949,-34.36220077472677
RERF_3_5_l2,0.3859570026397705,0.47958650326275126,0.294288503992474,-38.637033780068236
RERF_3_5_l1,0.5246760845184326,0.5115786812492613,0.4699517419068587,-8.136957396416673
RERF_3_5_en_0.25,5.030397176742554,1.0469648448625206,0.7155591049659819,-31.653951087541664
RERF_3_5_en_0.5,4.175642490386963,1.0111048475001254,0.6678170075218612,-33.95175493689062
RERF_3_5_en_0.75,3.41440749168396,0.9395564807164191,0.6932426026041009,-26.215973511725654
RERF_4_5,0.770042896270752,0.4774013564004764,0.2935702470501987,-38.50661647388949
RERF_4_5_l2,0.6120688915252686,0.47667945310633947,0.29403504766629907,-38.31598031965002
RERF_4_5_l1,0.4816110134124756,0.4998368218599971,0.34902800401952916,-30.17161026258067
RERF_4_5_en_0.25,5.100785732269287,0.9998380553699302,0.714889618870254,-28.49945898431002
RERF_4_5_en_0.5,4.006841659545898,0.8892973577537808,0.5828747838594996,-34.45670576018063
RERF_4_5_en_0.75,3.6145710945129395,0.8859485265568902,0.6045872609205825,-31.758195561290368
RERF_5_5,1.118044376373291,0.4763772158745946,0.2944638223666501,-38.186837540910616
RERF_5_5_l2,0.5893433094024658,0.4762872541575911,0.2944948642223526,-38.16864473032657
RERF_5_5_l1,0.5873372554779053,0.49141540207797646,0.31158553329487365,-36.594267909121804
RERF_5_5_en_0.25,5.262237787246704,0.9290305015631661,0.6888499883440607,-25.85281245502521
RERF_5_5_en_0.5,4.233371734619141,0.8795889525011491,0.6184769316868581,-29.685686714437203
RERF_5_5_en_0.75,3.4954097270965576,0.8036424050393801,0.5567186880847175,-30.725570901471144
RERF_7_5,1.0391240119934082,0.47080122541028213,0.3149515799327599,-33.1030670835035
RERF_7_5_l2,0.8524303436279297,0.4712124620656101,0.3113557523964582,-33.924550502845996
RERF_7_5_l1,0.7784969806671143,0.47392980377019805,0.3435833630122669,-27.503322163113918
RERF_7_5_en_0.25,5.4249536991119385,0.7803982001181814,0.632292484381427,-18.97822364458627
RERF_7_5_en_0.5,4.415246486663818,0.7175972747646615,0.5303843818279869,-26.088852274149417
RERF_7_5_en_0.75,3.890204906463623,0.683025355096241,0.48685628729767016,-28.72061283448691
