,Run_Time,Train_RMSE,Validation_RMSE,delta%
DT_1,0.024931907653808594,58.56203507453468,60.979366395223565,4.127813040670864
DT_2,0.0359039306640625,47.881610979426384,49.02337393821806,2.3845541857024455
DT_3,0.02892279624938965,39.11797778109619,46.42766448803627,18.68625916156765
DT_4,0.03390955924987793,32.758838524388544,41.19833751199876,25.762509807321507
DT_5,0.03390955924987793,27.585778907979048,39.91912655004316,44.70907884532038
DT_6,0.037897348403930664,22.468882225756474,39.64838785126562,76.45910220587642
DT_8,0.043883323669433594,13.48792170433263,38.03211442438123,181.97164291192794
DT_10,0.0578460693359375,7.492599325236775,40.99193474404634,447.0989834726141
DT_15,0.06932353973388672,1.3329880517129764,36.12874049642056,2610.357414681458
DT_20,0.07180666923522949,0.05461108152444291,43.951212973012325,80380.39289121307
