,Run_Time,Train_RMSE,Validation_RMSE,delta%
RERF_1_3_linear,0.31270718574523926,16.555649955790415,6955.746807296701,41914.33846373332
RERF_1_3_square,0.2886691093444824,19.066981927674796,51.00266419754785,167.4920676539792
RERF_1_3_linear_l2,0.04388141632080078,17.256765343630054,37.72885885856903,118.63227613798313
RERF_1_3_square_l2,0.04787325859069824,19.08600363864675,36.58209153461475,91.66972943744297
RERF_1_3_linear_l1,0.05584907531738281,21.594142341257367,36.050274178516446,66.94469087405922
RERF_1_3_square_l1,0.0578460693359375,21.594142341257367,36.050274178516446,66.94469087405922
RERF_1_3_linear_en_0.25,0.06682109832763672,24.45327405935391,35.99060260771971,47.181119879333785
RERF_1_3_square_en_0.25,0.06283235549926758,24.457736448620008,35.98972487871841,47.15067747305405
RERF_1_3_linear_en_0.5,0.06582498550415039,23.571805600366588,35.72529115612758,51.55941705022369
RERF_1_3_square_en_0.5,0.05983924865722656,23.571805600366588,35.72529115612758,51.55941705022369
RERF_1_3_linear_en_0.75,0.05984067916870117,22.56038810418845,35.70611045654549,58.2690434741079
RERF_1_3_square_en_0.75,0.05684804916381836,22.56038810418845,35.70611045654549,58.2690434741079
RERF_2_3_linear,0.28025054931640625,15.215269926152887,4613.965089670541,30224.569409970114
RERF_2_3_square,0.2902233600616455,16.371774134343717,6951.775416080163,42361.95530817366
RERF_2_3_linear_l2,0.05186152458190918,17.536914517513736,39.23361187390298,123.72015233763742
RERF_2_3_square_l2,0.04787278175354004,16.99330167653367,36.30200699511381,113.6253900867531
RERF_2_3_linear_l1,0.06682658195495605,21.594142341257367,36.050274178516446,66.94469087405922
RERF_2_3_square_l1,0.061246633529663086,21.594142341257367,36.050274178516446,66.94469087405922
RERF_2_3_linear_en_0.25,0.06881570816040039,24.457737629728097,35.989726645988576,47.15067759269557
RERF_2_3_square_en_0.25,0.06932783126831055,24.457736448620008,35.98972487871841,47.15067747305405
RERF_2_3_linear_en_0.5,0.06781601905822754,23.571805600366588,35.72529115612758,51.55941705022369
RERF_2_3_square_en_0.5,0.06585025787353516,23.571805600366588,35.72529115612758,51.55941705022369
RERF_2_3_linear_en_0.75,0.06779170036315918,22.56038810418845,35.70611045654549,58.2690434741079
RERF_2_3_square_en_0.75,0.06482601165771484,22.56038810418845,35.70611045654549,58.2690434741079
RERF_3_3_linear,0.28823041915893555,15.83251298247046,20218.058124827312,127599.61500876372
RERF_3_3_square,0.2842385768890381,16.31611377009645,12843.561996207665,78617.04118505753
RERF_3_3_linear_l2,0.0578465461730957,16.993302166641435,36.30200880469531,113.62539457432634
RERF_3_3_square_l2,0.05585050582885742,17.79135635943144,36.231933920415074,103.6490821072674
RERF_3_3_linear_l1,0.06596589088439941,21.594142341257367,36.050274178516446,66.94469087405922
RERF_3_3_square_l1,0.07256412506103516,21.594142341257367,36.050274178516446,66.94469087405922
RERF_3_3_linear_en_0.25,0.07382035255432129,24.457737629728097,35.989726645988576,47.15067759269557
RERF_3_3_square_en_0.25,0.07707405090332031,24.457736448620008,35.98972487871841,47.15067747305405
RERF_3_3_linear_en_0.5,0.07141757011413574,23.571805600366588,35.72529115612758,51.55941705022369
RERF_3_3_square_en_0.5,0.07871031761169434,23.571805600366588,35.72529115612758,51.55941705022369
RERF_3_3_linear_en_0.75,0.07782626152038574,22.56038810418845,35.70611045654549,58.2690434741079
RERF_3_3_square_en_0.75,0.07385444641113281,22.56038810418845,35.70611045654549,58.2690434741079
RERF_1_5_linear,0.49869656562805176,15.552199146139264,2535.252958878311,16201.572112440906
RERF_1_5_square,0.5120244026184082,19.10585017008938,61420.710062586346,321375.93284669315
RERF_1_5_linear_l2,0.06732726097106934,16.435870369752653,35.60270081462123,116.61585309252486
RERF_1_5_square_l2,0.05684828758239746,19.086004817496665,36.58204215504428,91.66945887757774
RERF_1_5_linear_l1,0.07747864723205566,21.594142341257367,36.050274178516446,66.94469087405922
RERF_1_5_square_l1,0.08391642570495605,21.594142341257367,36.050274178516446,66.94469087405922
RERF_1_5_linear_en_0.25,0.08477282524108887,24.450317549624135,35.99177511297671,47.20371234413681
RERF_1_5_square_en_0.25,0.0967416763305664,24.457736448620008,35.98972487871841,47.15067747305405
RERF_1_5_linear_en_0.5,0.09175443649291992,23.571805600366588,35.72529115612758,51.55941705022369
RERF_1_5_square_en_0.5,0.09075689315795898,23.571805600366588,35.72529115612758,51.55941705022369
RERF_1_5_linear_en_0.75,0.09103822708129883,22.56038810418845,35.70611045654549,58.2690434741079
RERF_1_5_square_en_0.75,0.10217833518981934,22.56038810418845,35.70611045654549,58.2690434741079
RERF_2_5_linear,0.4323740005493164,14.803902525311155,10278.965802212688,69334.16294884474
RERF_2_5_square,0.4154243469238281,15.459127171705356,42265.25630494694,273300.0169317741
RERF_2_5_linear_l2,0.07641029357910156,16.973303761904315,37.59342229442057,121.48559185511675
RERF_2_5_square_l2,0.08693766593933105,16.606482402451718,36.33775324624424,118.81667872589003
RERF_2_5_linear_l1,0.10190820693969727,21.594142341257367,36.050274178516446,66.94469087405922
RERF_2_5_square_l1,0.10223531723022461,21.594142341257367,36.050274178516446,66.94469087405922
RERF_2_5_linear_en_0.25,0.11021780967712402,24.457737905965335,35.98972185641233,47.15065634763508
RERF_2_5_square_en_0.25,0.11072111129760742,24.457736448620008,35.98972487871841,47.15067747305405
RERF_2_5_linear_en_0.5,0.1048886775970459,23.571805600366588,35.72529115612758,51.55941705022369
RERF_2_5_square_en_0.5,0.10549378395080566,23.571805600366588,35.72529115612758,51.55941705022369
RERF_2_5_linear_en_0.75,0.1070094108581543,22.56038810418845,35.70611045654549,58.2690434741079
RERF_2_5_square_en_0.75,0.10569071769714355,22.56038810418845,35.70611045654549,58.2690434741079
RERF_3_5_linear,0.48670363426208496,15.61752509839563,6623.913458758083,42313.33640909947
RERF_3_5_square,0.44541072845458984,15.105876963196792,3398.3840379922312,22397.09862109883
RERF_3_5_linear_l2,0.09302997589111328,16.429047633991974,37.3995375255174,127.64276030302044
RERF_3_5_square_l2,0.10540270805358887,16.48544641384991,35.25203787506841,113.83732651274843
RERF_3_5_linear_l1,0.12199974060058594,21.594142341257367,36.050274178516446,66.94469087405922
RERF_3_5_square_l1,0.11768579483032227,21.594142341257367,36.050274178516446,66.94469087405922
RERF_3_5_linear_en_0.25,0.12669920921325684,24.457737905965335,35.98972185641233,47.15065634763508
RERF_3_5_square_en_0.25,0.12566661834716797,24.457736448620008,35.98972487871841,47.15067747305405
RERF_3_5_linear_en_0.5,0.12395572662353516,23.571805600366588,35.72529115612758,51.55941705022369
RERF_3_5_square_en_0.5,0.13862919807434082,23.571805600366588,35.72529115612758,51.55941705022369
RERF_3_5_linear_en_0.75,0.13563871383666992,22.56038810418845,35.70611045654549,58.2690434741079
RERF_3_5_square_en_0.75,0.15059471130371094,22.56038810418845,35.70611045654549,58.2690434741079
RERF_1_7_linear,0.6447474956512451,15.15062926701249,5788.573670287161,38106.8201146644
RERF_1_7_square,0.8239493370056152,19.066928049173853,1980.81744923847,10288.760287603312
RERF_1_7_linear_l2,0.12466669082641602,16.037225727472457,33.741618080546445,110.39560491279738
RERF_1_7_square_l2,0.1266622543334961,19.086004285445615,36.58206562873922,91.6695872096998
RERF_1_7_linear_l1,0.15162348747253418,21.594142341257367,36.050274178516446,66.94469087405922
RERF_1_7_square_l1,0.17304778099060059,21.594142341257367,36.050274178516446,66.94469087405922
RERF_1_7_linear_en_0.25,0.18239521980285645,24.447378886888803,35.99648544189893,47.24067397345385
RERF_1_7_square_en_0.25,0.15209245681762695,24.457736448620008,35.98972487871841,47.15067747305405
RERF_1_7_linear_en_0.5,0.13364124298095703,23.571805600366588,35.72529115612758,51.55941705022369
RERF_1_7_square_en_0.5,0.13364267349243164,23.571805600366588,35.72529115612758,51.55941705022369
RERF_1_7_linear_en_0.75,0.14162206649780273,22.56038810418845,35.70611045654549,58.2690434741079
RERF_1_7_square_en_0.75,0.13463902473449707,22.56038810418845,35.70611045654549,58.2690434741079
RERF_2_7_linear,0.656794548034668,14.301891040444112,16195.922408900196,113143.22331291702
RERF_2_7_square,0.6746006011962891,14.88423940956258,20413.879158947384,137050.9728997789
RERF_2_7_linear_l2,0.11967945098876953,16.804836824454092,36.33355046494446,116.20888583739497
RERF_2_7_square_l2,0.118682861328125,16.428387751039686,36.371419720647076,121.39372573760487
RERF_2_7_linear_l1,0.14162349700927734,21.594142341257367,36.050274178516446,66.94469087405922
