,Run_Time,Train_AUC,Validation_AUC,delta%
DT_1,0.15100646018981934,0.7039953809248063,0.7050956168862422,0.15628454266143146
DT_3,0.4312479496002197,0.7786896668701139,0.780204870269545,0.19458373006558172
DT_5,0.42844390869140625,0.788014703494109,0.7867860593993193,-0.15591639208529143
DT_7,0.6048951148986816,0.7944417370539356,0.7853578957665275,-1.1434244783128031
DT_10,0.8107528686523438,0.8126142558320346,0.7640718745656018,-5.97360690118959
DT_12,0.9866869449615479,0.8329937258183391,0.7459468161730558,-10.449887789943167
DT_15,1.1572468280792236,0.8723331760139528,0.7081413745111772,-18.822143421511846
DT_17,1.274376630783081,0.9000692849105786,0.6691366179754882,-25.65721004000636
DT_20,1.5341219902038574,0.9371676896912482,0.6208370613672135,-33.75389824079941
DT_22,1.7049407958984375,0.9565980049379521,0.5967752699086769,-37.614832267250485
DT_25,1.615424633026123,0.97702220271822,0.5852851053178874,-40.095004628396595
DT_27,1.6951422691345215,0.9864788995859877,0.57967505330634,-41.237967325036344
DT_30,1.8316020965576172,0.9941216365469914,0.5789634237023631,-41.761309439622494
DT_35,1.9134414196014404,0.9991884568864644,0.596039069380263,-40.34768263460938
DT_40,2.1658804416656494,0.9999722488621724,0.6096329150249349,-39.0350166498509
DT_45,2.525475263595581,0.9999999109546968,0.61931345665107,-38.068648820197055
DT_50,2.0432682037353516,1.0,0.6124123087008961,-38.758769129910384
