,Run_Time,Train_AUC,Validation_AUC,delta%
LT_1_l2,165.8740270137787,0.7872441460174893,0.786922431689963,-0.0408658900995003
LT_2,226.64322662353516,0.7888737979267295,0.7880937596220362,-0.09887998647481494
LT_2_l2,200.93927240371704,0.7889483141925155,0.7881883101008776,-0.09633129039837805
LT_3,256.453572511673,0.7899078584901239,0.7893052745576323,-0.07628534467847782
LT_3_l2,211.17920303344727,0.7895042341650353,0.7891392317167252,-0.046231854436624975
LT_4,267.53437399864197,0.7906990248822425,0.7902432153077396,-0.057646406554106654
LT_4_l2,214.00797629356384,0.7902372055064426,0.7900304462301919,-0.026164204217413823
LT_5,273.5849244594574,0.7908760018588512,0.7904909985626131,-0.048680614323008894
LT_5_l2,212.93275594711304,0.7904271087050454,0.7902984815876302,-0.016273115635667648
LT_7,274.7149667739868,0.7919505690179731,0.791520049374138,-0.054361933771821545
LT_7_l2,214.86757683753967,0.7904271087050454,0.7902984815876302,-0.016273115635667648
LT_10,273.6807882785797,0.7919505690179731,0.791520049374138,-0.054361933771821545
LT_10_l2,212.60540890693665,0.7904271087050454,0.7902984815876302,-0.016273115635667648
LT_12,274.3489327430725,0.7919505690179731,0.791520049374138,-0.054361933771821545
LT_12_l2,212.57176637649536,0.7904271087050454,0.7902984815876302,-0.016273115635667648
LT_15,271.85372948646545,0.7919505690179731,0.791520049374138,-0.054361933771821545
LT_15_l2,275.0388572216034,0.7904271087050454,0.7902984815876302,-0.016273115635667648
LT_1,255.96724128723145,0.787281417676251,0.7868627001874589,-0.05318523711992056
