,Run_Time,Train_RMSE,Validation_RMSE,delta%
DT_1,0.1516120433807373,21.60545883368045,21.936537042065897,1.5323822138381635
DT_3,0.33908915519714355,17.14460053477768,17.557402894615183,2.4077689007692937
DT_5,0.5255661010742188,14.938245602600885,16.059912583172935,7.508692857324271
DT_7,0.708106279373169,12.823563703854557,13.921951483155622,8.565386382967064
DT_10,0.9704036712646484,10.464893318922202,13.200747071370689,26.143159505521428
DT_12,1.113023042678833,9.21932731687203,13.043820548947245,41.48343041336776
DT_15,1.4002838134765625,7.8109001474129744,12.191357891384424,56.081343523797166
DT_17,1.440117597579956,6.975428486379906,12.201971246327316,74.92790973561928
DT_20,1.5748343467712402,5.752027084345972,12.38810933813087,115.36945421979782
DT_22,1.6786913871765137,5.225458103398097,12.322298908766827,135.8127969824058
DT_25,2.4245147705078125,4.49657278335746,12.368868259574299,175.073235895424
DT_30,2.9361460208892822,3.9598102074443475,12.269299543673364,209.8456466576953
