,Run_Time,Train_RMSE,Validation_RMSE,delta%
EBLR_1_1_linear,0.418834924697876,15.651516267162368,54.438620650600015,247.81691256849572
EBLR_1_1_square,0.34607458114624023,16.2865791500971,52.61627546024609,223.065236568923
EBLR_1_1_linear_l2,0.21104836463928223,16.009496436007968,48.92637658699973,205.6084667157696
EBLR_1_1_square_l2,0.2144773006439209,15.97023515160276,50.87817969192488,218.58128079484658
EBLR_1_1_linear_l1,0.5896165370941162,17.94950629700755,33.37329114636651,85.9287414046053
EBLR_1_1_square_l1,0.6451921463012695,18.662685143769266,35.03279854312983,87.71574547420309
EBLR_1_1_linear_en_0.25,2.677487850189209,19.098912879890793,32.34252882052384,69.3422501265882
EBLR_1_1_square_en_0.25,2.847745895385742,19.232397613129137,32.58942849114848,69.45067976808606
EBLR_1_1_linear_en_0.5,1.7194209098815918,19.00980297484801,32.502762486619844,70.97895506662773
EBLR_1_1_square_en_0.5,1.5623424053192139,19.16625058759649,32.80520806617194,71.16132295276341
EBLR_1_1_linear_en_0.75,1.0179002285003662,18.7662402580041,33.515626044191656,78.59531575535867
EBLR_1_1_square_en_0.75,0.9603147506713867,18.97768554885843,33.83592780728337,78.29322611638861
EBLR_2_1_linear,0.544867992401123,15.795059800309472,51.486054048709,225.9630207142377
EBLR_2_1_square,0.5315985679626465,16.252985682511977,53.506331662735114,229.20924627594613
EBLR_2_1_linear_l2,0.31914663314819336,15.799661542252036,48.00435833765207,203.83156126020205
EBLR_2_1_square_l2,0.518122673034668,16.26504002134665,51.81233544630609,218.55031022552834
EBLR_2_1_linear_l1,0.7435226440429688,17.366932797227328,33.29638132494233,91.72286617161424
EBLR_2_1_square_l1,0.7262554168701172,18.662685143769266,35.03279854312983,87.71574547420309
EBLR_2_1_linear_en_0.25,2.3424103260040283,19.05799266947619,32.334257336917055,69.66245027843095
EBLR_2_1_square_en_0.25,2.3710925579071045,19.232397613129137,32.58942849114848,69.45067976808606
EBLR_2_1_linear_en_0.5,1.6308820247650146,18.954217554189583,32.49243384033417,71.42587789466488
EBLR_2_1_square_en_0.5,1.8169889450073242,19.16625058759649,32.80520806617194,71.16132295276341
EBLR_2_1_linear_en_0.75,1.0870940685272217,18.671172290117486,33.506613251410585,79.45639797424711
EBLR_2_1_square_en_0.75,1.1185879707336426,18.97768554885843,33.83592780728337,78.29322611638861
EBLR_3_1_linear,0.5868182182312012,16.255248242167937,49.818869350405976,206.47867450692166
EBLR_3_1_square,0.5822956562042236,16.30861112031371,51.02144747689338,212.84973993488626
