,Run_Time,Train_RMSE,Validation_RMSE,delta%
LT_1,381.39766001701355,13.712102072516037,96.58626306441165,604.3869900735724
LT_2,478.8678123950958,12.1422198613404,139.7476541316057,1050.923436797155
LT_1_l2,116.00149822235107,13.823865861263998,89.25087842349524,545.6289385271458
LT_2_l2,139.78672766685486,12.481349006517114,110.84858785542582,788.1138392776808
LT_3_l2,142.75812196731567,11.318726936712387,31.905902465807443,181.8859633614835
LT_4_l2,142.10753440856934,11.286435945444858,31.885837483903817,182.51467193036046
LT_5_l2,142.1891646385193,11.286435945444858,31.885837483903817,182.51467193036046
LT_1_l1,362.36249685287476,16.717114915218136,17.08843520592437,2.2211984100690016
LT_2_l1,392.02459931373596,15.321909427672326,16.30366837118485,6.40754958216503
LT_1_en_0.25,1133.9777200222015,17.060388502307724,19.23226276819925,12.730508836875195
LT_2_en_0.25,1162.4504237174988,15.6068294910396,18.69491129086295,19.786733760347175
LT_1_en_0.5,777.8754858970642,17.05731516665913,18.027325900153322,5.6867726486651975
LT_2_en_0.5,800.0401592254639,15.617705370191993,18.088202211160645,15.81856477894538
LT_1_en_0.75,503.3100426197052,16.980589943673113,43.15315622620802,154.1322555303014
LT_2_en_0.75,526.3853120803833,15.591981240867288,18.24900827735388,17.04098405097105
