,Run_Time,Train_RMSE,Validation_RMSE,delta%
RF_1_1,0.11967945098876953,21.647384119062778,22.005561875044897,1.6546006390984962
RF_1_3,0.237396240234375,17.151822174978275,17.581302166517865,2.5039904632764456
RF_1_5,0.3679845333099365,15.213620836418237,15.942394545840079,4.790271278993034
RF_1_7,0.5485327243804932,12.611279242108424,14.188387602525847,12.505538337074784
RF_1_10,0.7031500339508057,11.698348201912404,13.626079424009005,16.478661677906473
RF_1_12,0.7958400249481201,9.577902727019064,13.232201628553458,38.15343510668252
RF_1_15,1.0113263130187988,9.828192753953092,13.016700749893964,32.44246501635198
RF_1_20,1.095038890838623,8.369646606780789,13.0994289114951,56.5111351401911
RF_1_22,1.0861258506774902,8.321939520115281,12.911751629578115,55.153153881599614
RF_1_25,1.1768205165863037,8.31789193229621,12.844630820328897,54.42170834723806
RF_5_1,0.43483757972717285,21.605504610873258,21.937649054039632,1.537313981545324
RF_5_3,1.0771174430847168,16.6273013817291,17.157679080533413,3.1898002365381855
RF_5_5,1.6824991703033447,14.106747114451624,14.875389167298744,5.448754745590405
RF_5_7,2.282919406890869,11.906973877709829,13.002726871461112,9.2026152488884
RF_5_10,3.388908863067627,9.604690094276103,11.846917245925345,23.345127532907007
RF_5_12,3.913529872894287,8.067643060036646,11.170482127675472,38.46029186651611
RF_5_15,4.744308948516846,7.204066798304498,10.9661342302813,52.221440157415216
RF_5_20,5.3447020053863525,5.78696815191546,10.477565894087114,81.05449380465465
RF_5_22,5.34370493888855,5.823105896934245,10.327289661793877,77.35019497466119
RF_5_25,5.546183824539185,5.77532204893059,10.477578607337588,81.41981552834285
RF_10_1,0.7489964962005615,21.605540720094897,21.936917647289572,1.533759008801238
RF_10_3,2.072435140609741,16.619763232950838,17.19709191095711,3.473747910329084
RF_10_5,3.3201496601104736,13.921663934331223,14.695082089457083,5.555500827875817
RF_10_7,4.525861501693726,11.7892656265203,12.821284858159293,8.75388904053052
RF_10_10,6.241329908370972,9.168955661647269,11.358594760816647,23.88100869904298
RF_10_12,7.401175022125244,7.4454081475776235,10.642193542836322,42.93633514636506
RF_10_15,8.67780613899231,6.289787584391019,10.2011895170341,62.186550502115026
RF_10_20,10.365252017974854,5.406865335130772,10.073059871934987,86.30129007441532
RF_10_22,11.286805868148804,5.3240909235242,10.24183638567534,92.36779635791632
RF_10_25,11.720645904541016,5.294596081837027,10.384822104980293,96.1400254989262
RF_15_1,1.0930759906768799,21.606001409150643,21.938054860926563,1.5368574938409825
RF_15_3,3.065798759460449,16.588675626299032,17.153548926531688,3.4051741860400675
RF_15_5,4.940782785415649,13.7702628621086,14.589847868222833,5.951847211061387
RF_15_7,6.771915912628174,11.574421738831326,12.730334698440922,9.98678798554224
RF_15_10,9.811720609664917,9.062034190902704,11.1939020737417,23.52526858681641
RF_15_12,11.21699333190918,7.425228671901247,10.37490343237817,39.7250359660863
RF_15_15,13.057071208953857,6.1153470373715715,10.207586329211319,66.91753169250435
RF_15_20,15.38783574104309,5.195351532718301,9.857551219920204,89.73790623870559
RF_15_22,15.839627742767334,5.267465126393034,9.993763237867995,89.72623449927528
RF_15_25,17.127182483673096,5.094514042406346,9.992980088619204,96.15178220019416
RF_20_1,1.4421732425689697,21.605592768142085,21.937980611911232,1.5384342717930921
RF_20_3,4.099003553390503,16.591230432239257,17.032372886090954,2.658889318989209
RF_20_5,6.680129528045654,13.927343005515352,14.657195282961261,5.2404272455764245
RF_20_7,9.037822723388672,11.391886174367805,12.502980208699901,9.753380760001813
RF_20_10,12.442714929580688,9.029403801320564,11.179785609908706,23.81532442123859
RF_20_12,14.508188486099243,7.298185007236162,10.427041108751904,42.87170164107208
RF_20_15,17.284761905670166,6.260307408930385,10.098193879020194,61.30508007665932
RF_20_20,20.471237421035767,5.229749162098363,9.937935369813168,90.02699865294709
RF_20_22,21.337918281555176,5.141589920179062,9.884403519739022,92.24410490120898
RF_20_25,21.990498304367065,5.079602437436245,9.942483391537017,95.73349517005005
