,Run_Time,Train_AUC,Validation_AUC,delta%
LT_1,5.437584161758423,1.0,0.993734335839599,-0.6265664160400974
LT_1_l2,9.50102686882019,0.9995186136071887,0.9843358395989975,-1.5190086309046038
LT_1_l1,4.681356191635132,0.9994918699186992,0.9799498746867168,-1.9551930155842088
LT_1_en_0.25,128.6114456653595,0.9994651262302097,0.981829573934837,-1.7644990137765515
LT_1_en_0.5,156.1563069820404,0.9994651262302097,0.9799498746867168,-1.952569532575954
LT_1_en_0.75,244.63057398796082,0.9993848951647412,0.9943609022556391,-0.5027085093450288
LT_2,5.4389564990997314,1.0,0.993734335839599,-0.6265664160400974
LT_2_l2,12.28463339805603,0.9995186136071887,0.9843358395989975,-1.5190086309046038
LT_2_l1,5.512073278427124,0.9996790757381258,0.9786967418546366,-2.0989069785217382
LT_2_en_0.25,151.41203808784485,0.9994651262302097,0.9818295739348372,-1.7644990137765404
LT_2_en_0.5,181.97897171974182,0.9994651262302097,0.9799498746867168,-1.952569532575954
LT_2_en_0.75,244.0746512413025,0.9993848951647412,0.9943609022556391,-0.5027085093450288
LT_3,5.394193649291992,1.0,0.993734335839599,-0.6265664160400974
LT_3_l2,15.118687391281128,0.9994918699186992,0.9843358395989975,-1.516373546983881
LT_3_l1,5.58617901802063,1.0,0.9730576441102756,-2.694235588972438
LT_3_en_0.25,162.57222723960876,0.9992779204107831,0.9812030075187971,-1.8087973848712484
LT_3_en_0.5,195.75779676437378,0.9990104835258878,0.9780701754385964,-2.0961049390978466
LT_3_en_0.75,248.603533744812,0.9993848951647412,0.9943609022556391,-0.5027085093450288
LT_4,5.695316553115845,1.0,0.993734335839599,-0.6265664160400974
LT_4_l2,17.683778047561646,0.9997058194266154,0.981203007518797,-1.850825667738014
LT_4_l1,6.291362762451172,1.0,0.9730576441102756,-2.694235588972438
LT_4_en_0.25,177.72767543792725,0.9994116388532306,0.9855889724310777,-1.3830803929813795
LT_4_en_0.5,215.76187896728516,0.9990907145913565,0.9768170426065163,-2.2293943542404437
LT_4_en_0.75,256.2350494861603,0.9993848951647412,0.9943609022556391,-0.5027085093450288
LT_5,5.539696931838989,1.0,0.993734335839599,-0.6265664160400974
LT_5_l2,17.778294801712036,0.9997325631151048,0.9786967418546366,-2.104144851991406
LT_5_l1,6.138830661773682,1.0,0.9730576441102756,-2.694235588972438
LT_5_en_0.25,176.56585001945496,0.9994116388532306,0.9855889724310777,-1.3830803929813795
LT_5_en_0.5,212.16082906723022,0.9991442019683355,0.9417293233082707,-5.7464056286326075
LT_5_en_0.75,259.4791340827942,0.9993848951647412,0.9943609022556391,-0.5027085093450288
LT_6,5.655764818191528,1.0,0.993734335839599,-0.6265664160400974
LT_6_l2,17.82209539413452,0.9997325631151048,0.9786967418546366,-2.104144851991406
LT_6_l1,6.200422048568726,1.0,0.9730576441102756,-2.694235588972438
LT_6_en_0.25,178.45278882980347,0.9994116388532306,0.9855889724310777,-1.3830803929813795
LT_6_en_0.5,215.10443329811096,0.9991442019683355,0.9417293233082707,-5.7464056286326075
LT_6_en_0.75,259.9648189544678,0.9993848951647412,0.9943609022556391,-0.5027085093450288
LT_7,5.822848320007324,1.0,0.993734335839599,-0.6265664160400974
LT_7_l2,19.46509337425232,0.9997325631151048,0.9786967418546366,-2.104144851991406
LT_7_l1,7.307462453842163,1.0,0.9730576441102756,-2.694235588972438
LT_7_en_0.25,181.01238703727722,0.9994116388532306,0.9855889724310777,-1.3830803929813795
LT_7_en_0.5,216.0637173652649,0.9991442019683355,0.9417293233082707,-5.7464056286326075
LT_7_en_0.75,257.81930136680603,0.9993848951647412,0.9943609022556391,-0.5027085093450288
LT_8,5.705036640167236,1.0,0.993734335839599,-0.6265664160400974
LT_8_l2,17.863823652267456,0.9997325631151048,0.9786967418546366,-2.104144851991406
LT_8_l1,6.238780736923218,1.0,0.9724310776942356,-2.7568922305764354
LT_8_en_0.25,181.26758074760437,0.9994116388532306,0.9855889724310777,-1.3830803929813795
LT_8_en_0.5,216.00877118110657,0.9991442019683355,0.9417293233082707,-5.7464056286326075
LT_8_en_0.75,218.41731238365173,0.9993848951647412,0.9943609022556391,-0.5027085093450288
LT_9,4.487150430679321,1.0,0.993734335839599,-0.6265664160400974
LT_9_l2,12.316790580749512,0.9997325631151048,0.9786967418546366,-2.104144851991406
LT_9_l1,4.145552635192871,1.0,0.9730576441102756,-2.694235588972438
LT_9_en_0.25,135.84529328346252,0.9994116388532306,0.9855889724310777,-1.3830803929813795
LT_9_en_0.5,164.53897643089294,0.9991442019683355,0.9417293233082707,-5.7464056286326075
LT_9_en_0.75,201.70418334007263,0.9993848951647412,0.9943609022556391,-0.5027085093450288
LT_10,4.334967136383057,1.0,0.993734335839599,-0.6265664160400974
LT_10_l2,11.993560075759888,0.9997325631151048,0.9786967418546366,-2.104144851991406
LT_10_l1,4.102123975753784,1.0,0.9730576441102756,-2.694235588972438
LT_10_en_0.25,135.53008604049683,0.9994116388532306,0.9855889724310777,-1.3830803929813795
LT_10_en_0.5,161.81917142868042,0.9991442019683355,0.9417293233082707,-5.7464056286326075
LT_10_en_0.75,195.38380885124207,0.9993848951647412,0.9943609022556391,-0.5027085093450288
