,Run_Time,Train_AUC,Validation_AUC,delta%
LRF_2_1,2.5102577209472656,0.9876176722293539,0.9949874686716793,0.7462195796567215
LRF_2_1_l2,2.191171646118164,0.9922443303380402,0.9918546365914787,-0.039273970598425266
LRF_2_1_l1,0.9354376792907715,0.9974326059050065,0.9830827067669173,-1.4386835815407268
LRF_2_2,3.328073740005493,0.9971919127086009,0.9786967418546366,-1.8547253159852783
LRF_2_2_l2,2.7147412300109863,0.9900246041934104,0.9674185463659147,-2.2833834363049217
LRF_2_2_l1,1.3139934539794922,0.9852107402652974,0.9667919799498746,-1.8695249211821399
LRF_2_3,3.15856671333313,0.9949186991869918,0.9724310776942356,-2.260247144930754
LRF_2_3_l2,2.8642966747283936,0.9937687205819427,0.980576441102757,-1.327499971166367
LRF_2_3_l1,1.279249668121338,0.9950524176294395,0.9805764411027569,-1.4547953726065455
LRF_2_4,3.243356704711914,0.9961221651690202,0.9974937343358395,0.1376908590912268
LRF_2_4_l2,3.041868209838867,0.9882327770646128,0.9592731829573935,-2.9304425818822875
LRF_2_4_l1,1.376190185546875,0.9828840393667094,0.993734335839599,1.1039243734063122
LRF_2_5,3.197448253631592,0.9986360718870346,0.9927944862155389,-0.5849564056360793
LRF_2_5_l2,2.7237162590026855,0.9921106118955926,0.9667919799498748,-2.5519968884661313
LRF_2_5_l1,1.558847188949585,0.9678005990586221,0.9342105263157895,-3.470763789101356
LRF_2_6,3.9584150314331055,0.9937954642704323,0.9573934837092732,-3.6629248039366513
LRF_2_6_l2,2.9112470149993896,0.9859060761660248,0.987468671679198,0.15849334444208693
LRF_2_6_l1,1.1720097064971924,0.9989035087719298,0.9931077694235589,-0.5802101301552381
LRF_2_7,3.504626750946045,0.9898908857509627,0.9774436090225564,-1.257439270083125
LRF_2_7_l2,2.8394083976745605,0.9856653829696191,0.9617794486215538,-2.4233309559986367
LRF_2_7_l1,1.2799785137176514,0.9946245186136072,0.9793233082706767,-1.5383906244598378
LRF_2_8,3.936504602432251,0.9879252246469833,0.9486215538847118,-3.9784054280338794
LRF_2_8_l2,2.28688907623291,0.9963628583654258,0.9874686716791979,-0.8926654191846489
LRF_2_8_l1,1.5254185199737549,0.9930198973042361,0.9893483709273183,-0.36973341489782335
LRF_2_9,3.109679937362671,0.9918030594779632,0.9730576441102757,-1.8900340333245345
LRF_2_9_l2,2.9321634769439697,0.9909338896020539,0.9956140350877193,0.4722964402342629
LRF_2_9_l1,1.3633906841278076,0.9980477107402652,0.9943609022556391,-0.3694020280745445
LRF_2_10,3.3480777740478516,0.9928594351732991,0.9053884711779449,-8.810004810004813
LRF_2_10_l2,2.8543365001678467,0.9898373983739838,0.9843358395989976,-0.5558042951320709
LRF_2_10_l1,1.548905372619629,0.982910783055199,0.9799498746867168,-0.30123877156772355
LRF_5_1,6.176483869552612,0.9982349165596919,0.9974937343358397,-0.07424927855725838
LRF_5_1_l2,5.058473110198975,0.9915757381258024,0.994360902255639,0.2808826419150739
LRF_5_1_l1,2.335200786590576,0.9979407359863073,0.9968671679197995,-0.10757833885263447
LRF_5_2,9.767455816268921,0.9987697903294823,0.9893483709273183,-0.9433023999510434
LRF_5_2_l2,6.764410018920898,0.9964430894308944,0.9962406015037594,-0.020321072952667343
LRF_5_2_l1,3.6351678371429443,0.9971384253316218,0.9924812030075187,-0.4670587559148741
LRF_5_3,10.478252172470093,0.9994383825417202,0.987468671679198,-1.1976437038651082
LRF_5_3_l2,8.92747449874878,0.9975663243474541,0.9949874686716792,-0.2585147085294603
LRF_5_3_l1,4.104798793792725,0.9969779632006847,0.9968671679197995,-0.01111311232291486
LRF_5_4,8.97296690940857,0.999946512623021,0.9921679197994988,-0.7779008902303903
LRF_5_4_l2,8.475507974624634,0.9946780059905862,0.9924812030075187,-0.22085569097103866
LRF_5_4_l1,4.204732656478882,0.9939559264013693,0.9799498746867168,-1.4091220085946488
LRF_5_5,9.693065166473389,1.0,0.9931077694235588,-0.6892230576441172
LRF_5_5_l2,8.602018594741821,0.9979139922978176,0.9993734335839599,0.14624920558351348
LRF_5_5_l1,3.827317953109741,0.9981279418057338,0.9974937343358397,-0.06353969699984743
LRF_5_6,10.217379331588745,0.9999732563115106,0.9655388471177946,-3.4435330121457786
LRF_5_6_l2,7.900707006454468,0.9972186563970903,0.993734335839599,-0.34940386796211437
LRF_5_6_l1,3.963520050048828,0.9971919127086007,0.9968671679197995,-0.032565926845436306
LRF_5_7,9.846930503845215,0.9995988446726572,0.9921679197994988,-0.7433907024564315
LRF_5_7_l2,7.451056718826294,0.9982616602481814,0.9931077694235589,-0.5162865639196389
LRF_5_7_l1,3.322087287902832,0.9980209670517758,0.9949874686716792,-0.3039513677811556
LRF_5_8,8.140936613082886,0.9996790757381258,0.9843358395989975,-1.5348161736604693
LRF_5_8_l2,7.478606939315796,0.9955605477107403,0.9824561403508772,-1.3162843174125607
LRF_5_8_l1,3.3997912406921387,0.995854728284125,0.9918546365914788,-0.4016742180396617
LRF_5_9,9.83567190170288,0.9994651262302097,0.9899749373433584,-0.9495267656457848
LRF_5_9_l2,7.299723386764526,0.9972721437740694,0.9862155388471179,-1.1086848254989807
LRF_5_9_l1,3.3368096351623535,0.9985825845100557,0.9949874686716792,-0.3600218844333609
LRF_5_10,9.877838134765625,0.9993046640992725,0.9893483709273183,-0.9963220957172636
LRF_5_10_l2,7.886716365814209,0.9963896020539154,0.9943609022556391,-0.203605075172841
LRF_5_10_l1,4.168139457702637,0.9979407359863073,0.9993734335839598,0.1435653988246632
LRF_7_1,8.839898347854614,0.9962291399229782,0.993734335839599,-0.2504247249354793
LRF_7_1_l2,7.059845209121704,0.9967105263157895,0.9937343358395989,-0.29860128870030866
LRF_7_1_l1,3.4054300785064697,0.993581514762516,0.9956140350877193,0.2045650301464294
LRF_7_2,12.532152891159058,0.9994651262302097,0.987468671679198,-1.2002874573783215
LRF_7_2_l2,9.356898069381714,0.9959884467265725,0.9956140350877193,-0.037591966059823005
LRF_7_2_l1,4.7753541469573975,0.9971919127086007,0.9912280701754387,-0.5980636683026149
LRF_7_3,12.010303497314453,0.9997860504920838,0.9918546365914787,-0.7933111185839599
LRF_7_3_l2,9.979097366333008,0.9954803166452717,0.9956140350877193,0.013432555140638963
LRF_7_3_l1,4.8857927322387695,0.9982884039366708,0.9956140350877193,-0.2678954136305097
LRF_7_4,13.299730062484741,0.9997593068035944,0.9924812030075187,-0.7279856007887541
