,Run_Time,Train_AUC,Validation_AUC,delta%
RF_1_1,0.018947839736938477,0.8597026101839965,0.9019423558897242,4.9132973664797115
RF_1_3,0.017953157424926758,0.9745132648694907,0.9360902255639098,-3.942792847537761
RF_1_5,0.01595616340637207,0.9906129653401797,0.9495614035087719,-4.144056585945304
RF_1_7,0.011971473693847656,0.9827770646127514,0.9107142857142857,-7.332566203797292
RF_1_10,0.010969877243041992,0.9698063756953359,0.8847117794486214,-8.774390267923632
RF_1_12,0.012965679168701172,0.970581942661532,0.9113408521303258,-6.1036670812930165
RF_1_15,0.012964487075805664,0.9599379546427044,0.893483709273183,-6.922764648289807
RF_1_20,0.01497340202331543,0.9799689773213521,0.9197994987468672,-6.139937076268706
RF_1_25,0.012952804565429688,0.9726144629867352,0.9019423558897242,-7.26619948463329
RF_5_1,0.021940231323242188,0.9761446298673513,0.9555137844611529,-2.113502935420743
RF_5_3,0.019947528839111328,0.994798352588789,0.9749373433583961,-1.9964859389551766
RF_5_5,0.022939682006835938,0.9998395378690629,0.987468671679198,-1.2372851563992553
RF_5_7,0.029919862747192383,0.9999063970902867,0.9796365914786967,-2.0271703101985166
RF_5_10,0.0249330997467041,1.0,0.9580200501253132,-4.197994987468679
RF_5_12,0.02493762969970703,0.9997593068035944,0.9718045112781954,-2.796152567438987
RF_5_15,0.02293705940246582,0.9999197689345315,0.9727443609022557,-2.7177588519159563
RF_5_20,0.024935007095336914,0.9998662815575524,0.9351503759398496,-6.472456048511897
RF_5_25,0.024932384490966797,1.0,0.9414160401002505,-5.858395989974952
RF_10_1,0.031248092651367188,0.983512516046213,0.9558270676691729,-2.814956385947939
RF_10_3,0.03789663314819336,0.9959349593495935,0.9906015037593986,-0.5355224796685527
RF_10_5,0.03889632225036621,0.9997860504920839,0.9630325814536341,-3.6761334107792485
RF_10_7,0.0359034538269043,0.9999866281557552,0.9927944862155388,-0.7192238113704273
RF_10_10,0.035902976989746094,0.9999598844672657,0.9348370927318295,-6.512540427572328
RF_10_12,0.03789997100830078,0.9999465126230209,0.9357769423558897,-6.417300271271919
RF_10_15,0.036902427673339844,1.0,0.9671052631578948,-3.28947368421052
RF_10_20,0.04088950157165527,1.0,0.9589598997493736,-4.104010025062643
RF_10_25,0.0359036922454834,1.0,0.9758771929824562,-2.412280701754377
RF_15_1,0.03989362716674805,0.98811243046641,0.9843358395989975,-0.3822025460837299
RF_15_3,0.04487872123718262,0.997405862216517,0.9874686716791979,-0.9963036025510988
RF_15_5,0.0548548698425293,0.9996790757381259,0.9805764411027569,-1.9108767102346633
RF_15_7,0.052858829498291016,0.9999999999999999,0.9981203007518797,-0.18796992481201483
RF_15_10,0.05185961723327637,1.0,0.9727443609022557,-2.725563909774431
RF_15_12,0.04886960983276367,1.0,0.974310776942356,-2.5689223057643984
RF_15_15,0.05285954475402832,1.0,0.9533208020050126,-4.667919799498743
RF_15_20,0.050863027572631836,1.0,0.9918546365914787,-0.8145363408521344
RF_15_25,0.048868656158447266,1.0,0.9909147869674184,-0.9085213032581585
RF_20_1,0.052860260009765625,0.9832317073170732,0.9912280701754386,0.8132734938120426
RF_20_3,0.08078289031982422,0.996349486521181,0.968984962406015,-2.7464784681840015
RF_20_5,0.06335091590881348,1.0,0.9808897243107769,-1.9110275689223077
RF_20_7,0.06575775146484375,1.0,0.9683583959899751,-3.1641604010024915
RF_20_10,0.06382894515991211,0.9999732563115105,0.956140350877193,-4.383407771923725
RF_20_12,0.06183815002441406,1.0,0.9912280701754387,-0.877192982456132
RF_20_15,0.06781911849975586,1.0,0.9711779448621554,-2.8822055137844638
RF_20_20,0.06482672691345215,1.0,0.9921679197994987,-0.7832080200501301
RF_20_25,0.06682085990905762,1.0,0.9915413533834586,-0.8458646616541388
RF_25_1,0.05784487724304199,0.9895031022678649,0.9746240601503761,-1.5036882737797574
RF_25_3,0.06781816482543945,0.9972587719298245,0.9887218045112782,-0.8560433519201968
RF_25_5,0.07630372047424316,0.999893025246042,0.9880952380952381,-1.1799049351205102
RF_25_7,0.0752558708190918,1.0,0.9799498746867168,-2.0050125313283207
RF_25_10,0.07878756523132324,1.0,0.9733709273182959,-2.6629072681704113
RF_25_12,0.06682109832763672,0.9999999999999999,0.9746240601503761,-2.5375939849623834
RF_25_15,0.06582355499267578,1.0,0.9896616541353385,-1.0338345864661536
RF_25_20,0.06485629081726074,1.0,0.9868421052631579,-1.3157894736842146
RF_25_25,0.06180620193481445,1.0,0.975250626566416,-2.4749373433583965
RF_30_1,0.0608365535736084,0.9884066110397947,0.9705513784461154,-1.8064663261302685
RF_30_3,0.07080984115600586,0.997619811724433,0.9793233082706767,-1.8340156479180139
RF_30_5,0.07081151008605957,0.9998662815575524,0.9899749373433584,-0.9892667046223094
RF_30_7,0.07679343223571777,1.0,0.9696115288220553,-3.0388471177944743
RF_30_10,0.07682275772094727,1.0,0.9849624060150375,-1.5037593984962516
RF_30_12,0.07178068161010742,0.9999732563115105,0.9733709273182958,-2.6603040456641533
RF_30_15,0.07582402229309082,1.0,0.9724310776942356,-2.7568922305764354
RF_30_20,0.07428169250488281,1.0,0.9953007518796992,-0.46992481203007586
RF_30_25,0.07280492782592773,1.0,0.9953007518796992,-0.46992481203007586
RF_35_1,0.06784725189208984,0.9874973256311511,0.9868421052631579,-0.06635160936506637
RF_35_3,0.07679438591003418,0.9979139922978177,0.9868421052631579,-1.1095031355523464
RF_35_5,0.09175419807434082,0.9999197689345314,0.9931077694235588,-0.6812546088803814
RF_35_7,0.09471845626831055,1.0,0.975250626566416,-2.4749373433583965
RF_35_10,0.09032583236694336,1.0,0.974310776942356,-2.5689223057643984
RF_35_12,0.08178472518920898,1.0,0.9921679197994988,-0.783208020050119
RF_35_15,0.08676552772521973,1.0,0.9953007518796992,-0.46992481203007586
RF_35_20,0.0887603759765625,1.0,0.993734335839599,-0.6265664160400974
RF_35_25,0.08278346061706543,1.0,0.962406015037594,-3.7593984962405957
RF_40_1,0.07679414749145508,0.9888077663671374,0.9915413533834586,0.2764528262519979
RF_40_3,0.08773446083068848,0.9973791185280273,0.9843358395989975,-1.3077553647082156
RF_40_5,0.09575867652893066,0.9997860504920838,0.9924812030075189,-0.7306410687536179
RF_40_7,0.10071444511413574,1.0,0.9887218045112782,-1.1278195488721776
RF_40_10,0.09574508666992188,1.0,0.9871553884711779,-1.2844611528822103
RF_40_12,0.10072922706604004,1.0,0.9884085213032581,-1.159147869674193
RF_40_15,0.09625244140625,1.0,0.988095238095238,-1.1904761904761973
RF_40_20,0.09677362442016602,1.0,0.9931077694235588,-0.6892230576441172
RF_40_25,0.09543323516845703,1.0,0.9887218045112782,-1.1278195488721776
RF_45_1,0.08275175094604492,0.9865479246897731,0.9718045112781954,-1.4944447241337888
RF_45_3,0.09876227378845215,0.9971651690201113,0.9868421052631579,-1.0352411092635412
RF_45_5,0.10768508911132812,0.9998662815575524,0.9843358395989975,-1.5532518942795226
RF_45_7,0.10771465301513672,1.0,0.994360902255639,-0.5639097744360999
RF_45_10,0.10838174819946289,1.0,0.9868421052631579,-1.3157894736842146
RF_45_12,0.11716818809509277,1.0,0.9871553884711779,-1.2844611528822103
RF_45_15,0.1167752742767334,1.0,0.9884085213032582,-1.159147869674182
RF_45_20,0.1112215518951416,1.0,0.9921679197994987,-0.7832080200501301
RF_45_25,0.10321998596191406,1.0,0.9912280701754386,-0.8771929824561431
RF_50_1,0.09078717231750488,0.9877781343602909,0.9721177944862156,-1.5854106635208474
RF_50_3,0.10970425605773926,0.9979674796747967,0.9887218045112782,-0.9264505459167199
RF_50_5,0.11965131759643555,0.9999465126230209,0.9931077694235589,-0.683910900546356
RF_50_7,0.11571884155273438,1.0,0.9927944862155389,-0.7205513784461104
RF_50_10,0.11369967460632324,1.0,0.9924812030075187,-0.7518796992481258
RF_50_12,0.12164807319641113,1.0,0.9909147869674185,-0.9085213032581474
RF_50_15,0.11671900749206543,1.0,0.9899749373433584,-1.0025062656641603
RF_50_20,0.12220025062561035,1.0,0.9943609022556391,-0.5639097744360888
RF_50_25,0.11178255081176758,1.0,0.987468671679198,-1.2531328320801949
