,Run_Time,Train_AUC,Validation_AUC,delta%
DT_1,0.02480340003967285,0.7612146614859416,0.7439338235294118,-2.2701662002668797
DT_3,0.02194070816040039,0.8771558911319932,0.8725367647058824,-0.5266026795020137
DT_5,0.028980731964111328,0.9128481942754828,0.8978370098039216,-1.6444338243420036
DT_7,0.033910274505615234,0.9324061704341781,0.8962867647058823,-3.873784502249339
DT_10,0.0388951301574707,0.965217744826643,0.8644424019607841,-10.440684851267267
DT_12,0.040863037109375,0.9841938039218585,0.8259660947712418,-16.076885316703272
DT_15,0.0468747615814209,0.996800001061391,0.7889419934640522,-20.85252882985673
DT_17,0.043882131576538086,0.9991236890992591,0.7735243055555555,-22.579725213710866
DT_20,0.047899484634399414,0.9999091184001503,0.7610222630718955,-23.890856772110713
DT_25,0.047844886779785156,0.9999972517555832,0.7532199754901961,-24.67779544715226
DT_30,0.048868417739868164,0.9999995261647557,0.7626991421568627,-23.73004964492317
