,Run_Time,Train_AUC,Validation_AUC,delta%
LT_1,3.6576497554779053,0.9164738394140137,0.9114113562091503,-0.5523870935694551
LT_1_l2,4.42109489440918,0.9164868224997064,0.911439950980392,-0.5506758412029427
LT_1_l1,24.123222589492798,0.9164794306698959,0.9114317810457515,-0.5507651841629263
LT_1_en_0.25,77.45252776145935,0.916484548090534,0.9114174836601308,-0.5528805085650755
LT_1_en_0.5,64.52982187271118,0.9164811838602999,0.9114195261437908,-0.5522925953797398
LT_1_en_0.75,49.99235796928406,0.9164830318177524,0.9114215686274509,-0.5522702564675446
LT_3,5.465151786804199,0.9191078895368745,0.9087132352941176,-1.1309503879892264
LT_3_l2,6.983367919921875,0.919303773026853,0.9082005718954248,-1.2077837007967798
LT_3_l1,34.53299951553345,0.9193712945491606,0.9081760620915033,-1.2177052431408788
LT_3_en_0.25,114.92359972000122,0.919303678259804,0.9081454248366013,-1.2137723025675982
LT_3_en_0.5,98.66909551620483,0.9192939646372967,0.9081433823529412,-1.212950667935138
LT_3_en_0.75,79.21628713607788,0.9194190571417822,0.9080044934640523,-1.2414973987176816
LT_5,5.631275415420532,0.9195604969621948,0.9079044117647058,-1.2675713273890408
LT_5_l2,7.195934534072876,0.9206886986787863,0.9063133169934641,-1.5613726665648588
LT_5_l1,35.284958362579346,0.9198447507252285,0.9078206699346405,-1.307185889913265
LT_5_en_0.25,121.33975958824158,0.9207637541814776,0.908233251633987,-1.3608813868471257
LT_5_en_0.5,102.42391633987427,0.9202956997271943,0.9079942810457516,-1.3366810998996492
LT_5_en_0.75,82.63720870018005,0.920450170016824,0.9080678104575165,-1.3452503962361404
LT_7,5.6504247188568115,0.9195604969621948,0.9079044117647058,-1.2675713273890408
LT_7_l2,7.084251403808594,0.9206886986787863,0.9063133169934641,-1.5613726665648588
LT_7_l1,36.739959955215454,0.9198436135206423,0.9078227124183006,-1.3068418289422523
LT_7_en_0.25,121.67792916297913,0.9207632803462332,0.908233251633987,-1.3608306260361
LT_7_en_0.5,104.20855784416199,0.9202956049601452,0.9079942810457516,-1.336670940086285
LT_7_en_0.75,81.74594211578369,0.920450170016824,0.9080718954248367,-1.3448065952077688
LT_10,5.667264223098755,0.9195604969621948,0.9079044117647058,-1.2675713273890408
LT_10_l2,7.3513970375061035,0.9206886986787863,0.9063133169934641,-1.5613726665648588
LT_10_l1,32.74336385726929,0.919843897821789,0.9078206699346406,-1.3070943793419354
LT_10_en_0.25,120.19042801856995,0.9207634698803311,0.908233251633987,-1.3608509303667915
LT_10_en_0.5,102.00312662124634,0.9202958418777675,0.9079942810457516,-1.3366963396157245
LT_10_en_0.75,81.44272136688232,0.920450170016824,0.9080678104575165,-1.3452503962361404
LT_12,5.596826791763306,0.9195604969621948,0.9079044117647058,-1.2675713273890408
LT_12_l2,7.191371202468872,0.9206886986787863,0.9063133169934641,-1.5613726665648588
LT_12_l1,32.5736780166626,0.919843139685398,0.9078186274509805,-1.3072350834219475
LT_12_en_0.25,120.29491472244263,0.9207633751132822,0.908233251633987,-1.3608407782024967
LT_12_en_0.5,102.76653718948364,0.920295699727194,0.9079942810457516,-1.3366810998996252
LT_12_en_0.75,81.88304305076599,0.9204504543179706,0.9080708741830066,-1.34494801723325
LT_15,5.639776706695557,0.9195604969621948,0.9079044117647058,-1.2675713273890408
LT_15_l2,7.229185342788696,0.9206886986787863,0.9063133169934641,-1.5613726665648588
LT_15_l1,36.65855264663696,0.919843139685398,0.9078165849673203,-1.307457130374529
LT_15_en_0.25,120.90390276908875,0.9207635646473797,0.908233251633987,-1.3608610825289729
LT_15_en_0.5,101.89691281318665,0.9202955575766208,0.9079942810457516,-1.3366658601788421
LT_15_en_0.75,81.97373294830322,0.9204503595509217,0.9080698529411765,-1.3450488102134628
LT_17,5.719394207000732,0.9195604969621948,0.9079044117647058,-1.2675713273890408
LT_17_l2,7.1356518268585205,0.9206886986787863,0.9063133169934641,-1.5613726665648588
LT_17_l1,34.4457483291626,0.9198440873558866,0.9078206699346406,-1.307114715039112
LT_17_en_0.25,119.73960471153259,0.9207635646473799,0.908233251633987,-1.3608610825289849
LT_17_en_0.5,101.89584732055664,0.9202956997271942,0.9079942810457516,-1.3366810998996372
LT_17_en_0.75,81.35268902778625,0.9204506438520683,0.9080678104575165,-1.3453011823349807
LT_20,5.589908123016357,0.9195604969621948,0.9079044117647058,-1.2675713273890408
LT_20_l2,7.403812885284424,0.9206886986787863,0.9063133169934641,-1.5613726665648588
LT_20_l1,34.149298906326294,0.9198436135206424,0.9078084150326797,-1.3083961568096005
LT_20_en_0.25,119.55471062660217,0.9207635646473801,0.908233251633987,-1.3608610825290086
LT_20_en_0.5,101.8621015548706,0.9202956997271943,0.9079942810457516,-1.3366810998996492
LT_20_en_0.75,81.9232075214386,0.9204497909486283,0.9080698529411765,-1.3449878667138286
