,Run_Time,Train_AUC,Validation_AUC,delta%
LRF_2_1,0.14162039756774902,0.8085322280462892,0.8159446486928104,0.9167749150126366
LRF_2_1_l2,0.2483353614807129,0.8524429665839066,0.8407455065359478,-1.3722278799290681
LRF_2_2,0.8457386493682861,0.8319179400751939,0.826797385620915,-0.6155119642949544
LRF_2_2_l2,0.4474506378173828,0.8377177782320279,0.8150449346405229,-2.706501423349902
LRF_2_3,0.34065794944763184,0.8429675410537963,0.8322232434640524,-1.2745802259850307
LRF_2_3_l2,1.2872345447540283,0.8122299435254726,0.8098733660130718,-0.29013674405699985
LRF_2_4,0.15369009971618652,0.8192436054275364,0.8273529411764706,0.9898564596915281
LRF_2_4_l2,0.4667196273803711,0.8233631290411632,0.8098335375816994,-1.6432107513995025
LRF_2_5,0.34382128715515137,0.8586389783884694,0.8559834558823529,-0.309271134080175
LRF_2_5_l2,0.6493749618530273,0.8215105753866662,0.8264573120915033,0.6021513116260037
LRF_2_7,0.6928026676177979,0.8203048068405888,0.8219883578431374,0.20523480887949314
LRF_2_7_l2,0.3323485851287842,0.8406944112364911,0.845264501633987,0.5436089899508454
LRF_2_10,0.12969970703125,0.8006677949631503,0.8072120098039215,0.8173445818527466
LRF_2_10_l2,0.16712069511413574,0.8493102996335075,0.828579452614379,-2.4409037577990222
LRF_2_15,0.431626558303833,0.82767138123258,0.815374795751634,-1.4856845071329858
LRF_2_15_l2,0.23102879524230957,0.8311313261861921,0.8201623774509804,-1.3197611965301392
LRF_5_1,0.7872796058654785,0.8554114022386441,0.8599111519607843,0.5260334045541318
LRF_5_1_l2,0.8393850326538086,0.8553667195751101,0.8528993055555556,-0.2884627099801328
LRF_5_2,1.6260435581207275,0.8516933118439574,0.8486591094771241,-0.3562552769451807
LRF_5_2_l2,0.9711778163909912,0.8518421434941804,0.8528125,0.1139127141372981
LRF_5_3,1.1527199745178223,0.8753726595737322,0.8644158496732026,-1.2516737621055116
LRF_5_3_l2,1.1881115436553955,0.8557312410285218,0.852544934640523,-0.37234896135954937
LRF_5_4,0.5429282188415527,0.8474936626905256,0.8410917075163399,-0.7553985895141143
LRF_5_4_l2,1.0009541511535645,0.8655947376236841,0.8700796568627451,0.5181315278525683
LRF_5_5,2.59334659576416,0.8387636273831663,0.8388694852941176,0.01262070832536746
LRF_5_5_l2,0.7998652458190918,0.8404653118958898,0.8406852532679738,0.02616900054898115
LRF_5_7,0.6301794052124023,0.8814845182389135,0.8792800245098038,-0.25008876315989875
LRF_5_7_l2,1.1665856838226318,0.8749031836137159,0.8650408496732026,-1.1272486059289117
LRF_5_10,1.2329120635986328,0.8185094451000744,0.8294648692810458,1.3384603252357021
LRF_5_10_l2,1.9047400951385498,0.8352708456471267,0.8464409722222221,1.3373059329565555
LRF_5_15,0.5231163501739502,0.8868049772791262,0.878219975490196,-0.9680822738806086
LRF_5_15_l2,1.4489541053771973,0.8544188595524854,0.8470904820261438,-0.8577031562926853
LRF_7_1,0.9620883464813232,0.8718673212037197,0.8623141339869281,-1.0957157109182853
LRF_7_1_l2,1.9042866230010986,0.8572799715243972,0.8579901960784313,0.08284627865167865
LRF_7_2,0.6812856197357178,0.8673213932537801,0.862282475490196,-0.5809746885961705
LRF_7_2_l2,1.3169550895690918,0.8595922401328786,0.8507924836601307,-1.0237128794214794
LRF_7_3,0.8668797016143799,0.8709816757486668,0.863546772875817,-0.8536233401763549
LRF_7_3_l2,2.0280370712280273,0.8400685222623434,0.842782883986928,0.32311194297278406
LRF_7_4,0.6442770957946777,0.8801643184813467,0.8699846813725491,-1.1565609846990499
LRF_7_4_l2,1.4888153076171875,0.874364954159757,0.8651797385620914,-1.0505013443147857
LRF_7_5,1.9313905239105225,0.850658029218766,0.8515522875816994,0.10512548312213289
LRF_7_5_l2,2.965419292449951,0.8510460529002933,0.8589072712418301,0.9237124494904095
LRF_7_7,1.4263968467712402,0.8754301831723857,0.8703666258169935,-0.5784079019348959
LRF_7_7_l2,1.357785701751709,0.8548918418933092,0.8588715277777776,0.4655192258771214
LRF_7_10,0.8833653926849365,0.86612619123365,0.8577859477124183,-0.9629363025441333
LRF_7_10_l2,1.545008659362793,0.855348808602877,0.858032066993464,0.31370341123989537
LRF_7_15,2.087639093399048,0.8673349449417661,0.8679718137254901,0.07342823985568837
LRF_7_15_l2,1.8582067489624023,0.8740911247720972,0.8693024918300654,-0.5478413870499311
