,Run_Time,Train_AUC,Validation_AUC,delta%
RF_1_1,0.03091597557067871,0.6381680354345368,0.6455882352941177,1.1627344911639703
RF_1_3,0.023934602737426758,0.7888728511453214,0.7788796977124183,-1.2667635118123999
RF_1_5,0.01994633674621582,0.8572810139619345,0.8604595588235294,0.3707704719722281
RF_1_7,0.02792644500732422,0.8703879128040802,0.8448886846405229,-2.9296395076774306
RF_1_10,0.02819538116455078,0.905221389567342,0.8411529820261437,-7.077650647629999
RF_1_12,0.026927709579467773,0.9031908160115754,0.7919750816993464,-12.313647608082368
RF_1_15,0.024933815002441406,0.9100062726309637,0.7528216911764707,-17.272911866865375
RF_1_20,0.02995133399963379,0.9059115306006118,0.7298049428104574,-19.439711477499046
RF_1_25,0.027893543243408203,0.9072993940310596,0.7118770424836601,-21.538904669510845
RF_5_1,0.03889608383178711,0.8342215848822296,0.8179605800653595,-1.9492428764194258
RF_5_3,0.03789782524108887,0.8734088020203576,0.8653308823529411,-0.9248727112356572
RF_5_5,0.04588437080383301,0.8936624630846808,0.883171977124183,-1.1738756402822845
RF_5_7,0.05883598327636719,0.923080239923633,0.8977471405228759,-2.744409240398532
RF_5_10,0.0967414379119873,0.9470102938811475,0.8988756127450981,-5.082804426420575
RF_5_12,0.08277773857116699,0.9695324411773819,0.8844117647058822,-8.77955938927951
RF_5_15,0.08078503608703613,0.9884859457149705,0.8688684640522876,-12.101080665963721
RF_5_20,0.07180666923522949,0.9951750778582382,0.8468453839869281,-14.904884293378531
RF_5_25,0.07679414749145508,0.9957451490406115,0.8551491013071895,-14.119681915486574
RF_10_1,0.05286073684692383,0.8548518028151688,0.8485243055555556,-0.7401864555675892
RF_10_3,0.05983877182006836,0.8751177362123183,0.8644863153594772,-1.2148560602663545
RF_10_5,0.12218451499938965,0.8975548300822076,0.8814654820261438,-1.7925755081269112
RF_10_7,0.13092827796936035,0.9201692331005003,0.8942258986928104,-2.8194090254761104
RF_10_10,0.14796805381774902,0.9564151653433871,0.9036427696078432,-5.517728874217167
RF_10_12,0.12267255783081055,0.979155087317885,0.8969536356209151,-8.395141154006282
RF_10_15,0.1255197525024414,0.9928060437874939,0.8914644607843136,-10.207591264912974
RF_10_20,0.13064193725585938,0.9989837181681037,0.8846190767973856,-11.448098631720985
RF_10_25,0.13364267349243164,0.9990904258651119,0.8758854166666666,-12.331717531149604
RF_15_1,0.06981134414672852,0.8507323265850666,0.8382598039215687,-1.466092479824287
RF_15_3,0.0827796459197998,0.8796530976363107,0.8693525326797387,-1.1709803539884522
RF_15_5,0.0997321605682373,0.9024459943911175,0.8868321078431373,-1.7301740652652533
RF_15_7,0.15658307075500488,0.9213795504649223,0.8979810049019608,-2.539512142542641
RF_15_10,0.17054176330566406,0.958376085118247,0.8996119281045751,-6.131638500393236
RF_15_12,0.1865231990814209,0.9779175244269176,0.9025102124183007,-7.711009377074757
RF_15_15,0.18094992637634277,0.9958166981624954,0.9000071486928104,-9.621203344598966
RF_15_20,0.257310152053833,0.9997260284617667,0.881328635620915,-11.842983924608268
RF_15_25,0.24139118194580078,0.99977862417388,0.8801480800653595,-11.96570332831146
RF_20_1,0.0887453556060791,0.851896681930795,0.8353329248366014,-1.9443387262235214
RF_20_3,0.11142706871032715,0.8789439084262216,0.8740247140522875,-0.5596710241432866
RF_20_5,0.14112448692321777,0.905662056344507,0.8931648284313725,-1.379899690572961
RF_20_7,0.1545884609222412,0.9234631461845222,0.8983118872549021,-2.723580148654303
RF_20_10,0.1994647979736328,0.9577300581462181,0.9046129493464053,-5.54614615548626
RF_20_12,0.212432861328125,0.979901709512271,0.9016053921568628,-7.990221528889753
RF_20_15,0.22539567947387695,0.9965488683819312,0.8942524509803921,-10.265067840339333
RF_20_20,0.2432260513305664,0.9998502206792883,0.8941860702614379,-10.567997909333181
RF_20_25,0.24776577949523926,0.9998392750851459,0.885842524509804,-11.401507563866597
RF_25_1,0.10169005393981934,0.8496611746318845,0.8443944035947712,-0.6198672122914275
RF_25_3,0.1266629695892334,0.8759864657491511,0.8698692810457516,-0.6983195451733418
RF_25_5,0.14708232879638672,0.9026889771043757,0.890405433006536,-1.3607725816307825
RF_25_7,0.15011930465698242,0.9255258931533745,0.9032291666666666,-2.4090872715338456
