,Run_Time,Train_RMSE,Validation_RMSE,delta%
DT_1,0.4560246467590332,5.0219499686283,8.084298022799011,60.97926250362793
DT_2,0.802675724029541,2.5606174507739827,4.80905796092969,87.80852873888226
DT_3,1.0764801502227783,1.4673663522759839,2.7533683491840937,87.64014486998657
DT_4,1.385801076889038,0.8920851847596099,1.4836657065244043,66.31435336796986
DT_5,2.177032470703125,0.614569280784146,0.8496112737138362,38.24499536159595
DT_6,2.1345221996307373,0.5204763780947684,0.5296950044511359,1.7711901527813372
DT_7,2.58870530128479,0.48683950942098875,0.38214805541792757,-21.504305212938352
DT_8,3.603271007537842,0.4658300859585036,0.4505322512180341,-3.2839945726116686
DT_9,3.400491714477539,0.44550500132292997,0.498326144803857,11.856464758885828
DT_10,4.109414339065552,0.42623856552045153,0.5043525901268149,18.326362493967085
DT_15,7.79854154586792,0.3095164734528878,0.625498994302231,102.08908021092441
DT_20,8.32899284362793,0.20140161690379912,0.6592391558705744,227.32565210013408
