,Run_Time,Train_RMSE,Validation_RMSE,delta%
LT_1,64.53062987327576,11.927446783484305,117173.49203115099,982285.368454536
LT_1_l2,7.2639076709747314,12.538467150667202,42.65721620803786,240.21077453449294
LT_1_l1,9.007301330566406,16.828042528269297,30.659818919578367,82.19480291943152
LT_1_en_0.25,7.968350648880005,19.515100870335218,38.09790910913151,95.22271169524878
LT_1_en_0.5,7.985888481140137,18.864903578503824,37.5488810514031,99.0409380845672
LT_1_en_0.75,7.964065074920654,18.131027636113178,37.35413558911467,106.0232676206015
LT_2,81.99119210243225,8.76327380257604,31357.37770605489,357727.20490642573
LT_2_l2,9.775704622268677,9.546087375888428,51.804961886330474,442.68267035958416
LT_2_l1,11.863934993743896,14.8455828652275,29.900952600631474,101.41312653117753
LT_2_en_0.25,10.479050874710083,17.88712308392101,37.0792051084101,107.29552166911137
LT_2_en_0.5,10.71741247177124,17.330697683097615,39.01228797915846,125.10512093928332
LT_2_en_0.75,10.880903244018555,16.5991748367626,37.53088191404619,126.1008892497814
LT_3,92.22196459770203,5.224740465404769,27833.37892749303,532622.7086549023
LT_3_l2,10.991044521331787,6.537586394266164,46.40486594463876,609.816484954424
LT_3_l1,13.16500997543335,12.961197967931113,31.954528832235848,146.53993335568563
LT_3_en_0.25,11.588132381439209,16.19290640572872,37.335623284902034,130.56777053743392
LT_3_en_0.5,12.032190561294556,15.569689051204566,39.74183810424086,155.2513282284606
LT_3_en_0.75,12.675421953201294,14.64796838100557,39.327630409563156,168.48522188619955
LT_4,89.01946759223938,3.5994761878801143,12754.342013627094,354238.8356498247
LT_4_l2,11.352672815322876,4.487731408242511,47.91235494855098,967.6297351608762
LT_4_l1,13.70555830001831,11.962753623892887,32.89824415756708,175.00561485994578
LT_4_en_0.25,11.780263423919678,15.402031609881696,38.016446213195415,146.8274781932318
LT_4_en_0.5,12.046382904052734,14.460568897504613,40.02198230112606,176.76630556376276
LT_4_en_0.75,13.37172818183899,14.009442030437905,39.22052754598455,179.95781317179703
LT_5,91.18337345123291,3.430035458135452,12752.879286120908,371700.21727977414
LT_5_l2,11.262044191360474,4.029708502986078,48.076615489300444,1093.0544220177444
LT_5_l1,13.545763731002808,11.626026528883632,33.00006215563807,183.84643776317654
LT_5_en_0.25,11.595281839370728,15.189118218126696,38.0634161539432,150.59661533556516
LT_5_en_0.5,11.974445104598999,14.460568897504613,40.02198230112606,176.76630556376276
LT_5_en_0.75,13.339024543762207,13.66670304157246,39.299679875172735,187.55786787514043
LT_6,91.37051606178284,3.430035458135452,12752.879286120908,371700.21727977414
LT_6_l2,11.30159592628479,4.029708502986078,48.076615489300444,1093.0544220177444
LT_6_l1,13.68018364906311,11.626026528883632,33.00006215563807,183.84643776317654
LT_6_en_0.25,11.757359027862549,15.189118218126696,38.0634161539432,150.59661533556516
LT_6_en_0.5,12.119961500167847,14.460568897504613,40.02198230112606,176.76630556376276
LT_6_en_0.75,13.397763729095459,13.66670304157246,39.299679875172735,187.55786787514043
LT_7,92.94757771492004,3.430035458135452,12752.879286120908,371700.21727977414
LT_7_l2,11.27168321609497,4.029708502986078,48.076615489300444,1093.0544220177444
LT_7_l1,13.49726390838623,11.626026528883632,33.00006215563807,183.84643776317654
LT_7_en_0.25,11.563925981521606,15.189118218126696,38.0634161539432,150.59661533556516
LT_7_en_0.5,11.897252082824707,14.460568897504613,40.02198230112606,176.76630556376276
LT_7_en_0.75,13.249031066894531,13.66670304157246,39.299679875172735,187.55786787514043
LT_8,92.48818111419678,3.430035458135452,12752.879286120908,371700.21727977414
LT_8_l2,11.445518970489502,4.029708502986078,48.076615489300444,1093.0544220177444
LT_8_l1,13.629149913787842,11.626026528883632,33.00006215563807,183.84643776317654
LT_8_en_0.25,11.674148082733154,15.189118218126696,38.0634161539432,150.59661533556516
