,Run_Time,Train_RMSE,Validation_RMSE,delta%
LRF_2_1,0.2806987762451172,4524.2791525457005,62.10616800318549,-98.62726931939557
LRF_2_1_l1,0.026292085647583008,62.89446334200916,66.14418949955459,5.16695108736993
LRF_2_1_l2,0.3516209125518799,43.147698878753516,46.828675588525044,8.531107812064779
LRF_2_1_en_0.25,0.08556103706359863,56.26036981370296,63.24911581049863,12.422147276915819
LRF_2_1_en_0.5,0.5079917907714844,48.969765264684895,54.950662377067765,12.2134486045741
LRF_2_1_en_0.75,0.7400202751159668,54.87971160272741,59.47643838035845,8.376003888115536
LRF_2_2,0.41181397438049316,44.662091054695544,47.62754988710354,6.639767109821033
LRF_2_2_l1,0.3995189666748047,45.50979665410443,51.49683698441771,13.155497871848493
LRF_2_2_l2,0.1974174976348877,48.31635889379916,58.18072902592078,20.416211730283337
LRF_2_2_en_0.25,0.3640272617340088,51.35213169943039,59.92055600975027,16.68562536112776
LRF_2_2_en_0.5,0.5348491668701172,49.357442490742244,55.66653163010426,12.78244743038577
LRF_2_2_en_0.75,0.23817658424377441,57.469628504575404,64.81321449551207,12.778203343270286
LRF_2_3,0.2586991786956787,16494.8873655232,15989.627094210347,-3.0631325944602747
LRF_2_3_l1,0.24521255493164062,52.602550424852645,64.63119778771504,22.867042121933558
LRF_2_3_l2,0.19013094902038574,54.2939482946099,58.64725286749161,8.018029098307244
LRF_2_3_en_0.25,0.0735015869140625,61.60583361427381,73.04901448546737,18.574833258229326
LRF_2_3_en_0.5,0.3541440963745117,55.60620569568123,58.70322851154591,5.569563283662803
LRF_2_3_en_0.75,0.13801074028015137,57.817844972560565,66.05228313572066,14.242035771253713
LRF_2_4,0.6786925792694092,36.282895752181,44.96077895115901,23.917283940757052
LRF_2_4_l1,0.49933338165283203,46.464005299954295,51.36854258151844,10.555562848924197
LRF_2_4_l2,0.49744701385498047,36.18923047010467,36.98422150748061,2.1967613763787344
LRF_2_4_en_0.25,1.001828670501709,42.7911971176448,45.97521969426407,7.440835478066936
LRF_2_4_en_0.5,0.7228200435638428,46.233456644199784,49.684217678737426,7.463774688303685
LRF_2_4_en_0.75,0.07725787162780762,63.708935337568796,68.71127795429636,7.851869742010449
LRF_2_5,0.14911460876464844,18901.343189426752,2296.867425520812,-87.84812591093704
LRF_2_5_l1,0.2583904266357422,44.19865723712539,52.13125541289498,17.947599930946488
LRF_2_5_l2,0.29720568656921387,56.638795796374836,65.32124744585052,15.329513149768275
LRF_2_5_en_0.25,0.3703584671020508,52.46864071095089,60.69557474788237,15.679716351436575
LRF_2_5_en_0.5,0.24890780448913574,58.838058105885466,62.28837508765342,5.8640905101911
LRF_2_5_en_0.75,0.12436819076538086,63.51857741123964,68.53037859024444,7.890291916578659
LRF_2_7,0.4311797618865967,769.9427629560669,1093.8147753957853,42.064427126539364
LRF_2_7_l1,0.2986307144165039,45.35785696395871,58.66421569496057,29.336392020405796
LRF_2_7_l2,0.34943461418151855,42.714138683957614,45.7644969103508,7.141331466292275
LRF_2_7_en_0.25,0.2998521327972412,56.447078182949845,62.06264368567859,9.948372322351585
LRF_2_7_en_0.5,0.4503319263458252,59.188588186400125,65.32589530611344,10.36907165345007
LRF_2_7_en_0.75,0.2915172576904297,47.72193878031651,50.16139567211834,5.111814302079463
LRF_2_10,0.5123825073242188,272451.44068714,7897.591436521096,-97.10128475863337
LRF_2_10_l1,0.4474639892578125,46.48730914650024,46.75197133793567,0.5693213831787445
LRF_2_10_l2,0.5563137531280518,41.204551082707376,44.64331593944435,8.345594761691618
LRF_2_10_en_0.25,0.14254260063171387,41.194047717631044,44.40808519292861,7.802189037912774
LRF_2_10_en_0.5,0.42220354080200195,52.081130682645195,59.82520137211454,14.869244557414868
LRF_2_10_en_0.75,0.15503621101379395,48.30426009991533,47.45913005176231,-1.7495973365597732
LRF_5_1,0.4031031131744385,723.2135931236609,1650.8842492521794,128.27063331619348
LRF_5_1_l1,0.5588045120239258,44.27625566754104,52.29961462835821,18.121132511887424
LRF_5_1_l2,0.3867974281311035,41.69502883836636,51.486319615799886,23.48311309578447
LRF_5_1_en_0.25,0.7396483421325684,50.79360270197582,53.07604598151356,4.4935644611185515
LRF_5_1_en_0.5,0.7391202449798584,53.99198289081729,61.5507928430424,13.999874699009581
LRF_5_1_en_0.75,0.8904561996459961,49.23786974351666,54.1627945455873,10.002310879257983
LRF_5_2,1.009875774383545,164605.30881127538,96319.66544115778,-41.484472076419486
LRF_5_2_l1,0.8312914371490479,41.9876783159903,47.173931762259485,12.35184619458725
LRF_5_2_l2,0.4937455654144287,48.063329179455934,54.092255263178615,12.543713027477235
LRF_5_2_en_0.25,0.9316554069519043,52.69496627780936,55.99689986222191,6.266127142020862
LRF_5_2_en_0.5,0.7560298442840576,46.12961091607959,50.778520399791994,10.077929103217109
LRF_5_2_en_0.75,0.601534366607666,50.88373623380024,57.734838312671975,13.464227641210027
LRF_5_3,1.2732443809509277,6090.555395510161,11813.327992776047,93.96142429776768
LRF_5_3_l1,0.771782398223877,45.8718338800021,55.62357434733247,21.25866712205212
LRF_5_3_l2,0.9869656562805176,38.11894753687555,43.08656424995783,13.03188318165579
LRF_5_3_en_0.25,0.742279052734375,46.7878159583574,52.87236492926755,13.004558657590652
LRF_5_3_en_0.5,0.820681095123291,44.66731607909675,51.176561193926894,14.572724950170706
LRF_5_3_en_0.75,0.5784046649932861,45.295441292690136,52.54330281187555,16.001304573568834
LRF_5_4,0.686011791229248,187817.52553965637,2061.3918487165183,-98.90244968205523
LRF_5_4_l1,0.6195101737976074,46.60038745069192,51.23849574718404,9.952939342832126
LRF_5_4_l2,0.2484896183013916,50.90817232877212,58.96861190075434,15.833291990776594
LRF_5_4_en_0.25,0.765958309173584,46.46056806349709,49.30601686591381,6.124438251654346
LRF_5_4_en_0.5,0.595170259475708,47.92515164466857,54.192538615158355,13.077448386513355
