,Run_Time,Train_RMSE,Validation_RMSE,delta%
RF_1_1,0.02695441246032715,60.16434729815472,61.555656347593455,2.312514158167231
RF_1_3,0.024928569793701172,43.718719944491475,47.550681331587185,8.765035645968252
RF_1_5,0.028933048248291016,33.07581983961908,44.92657536674485,35.829060578358295
RF_1_7,0.03590250015258789,28.479468057687672,42.18520014767142,48.12495817064271
RF_1_10,0.04139852523803711,27.860456287011726,53.017619339933574,90.29702454891192
RF_1_12,0.04091811180114746,24.64565690367552,43.223701991946655,75.38060422118636
RF_1_15,0.04635453224182129,29.36775758001111,43.63858415721142,48.59351803868613
RF_1_17,0.04690194129943848,26.607581920446496,51.73725699376606,94.44554243393594
RF_1_20,0.04684734344482422,26.557202337245368,49.11953895257204,84.95750542098307
RF_1_22,0.04986572265625,28.21103702912337,40.50149703873914,43.5661404326535
RF_1_25,0.04787302017211914,26.23031330861994,47.56333049595644,81.32963162253168
RF_5_1,0.02991962432861328,54.40573112480929,56.10975073526526,3.1320590225078764
RF_5_3,0.05086374282836914,36.131738273337454,39.89131579578031,10.405194164757756
RF_5_5,0.07081198692321777,24.742196431042494,35.131238031294586,41.989164661297444
RF_5_7,0.09574341773986816,20.638910317089096,31.490602951060335,52.578806086414346
RF_5_10,0.1326446533203125,18.537460214799893,31.90520991235001,72.11208840182758
RF_5_12,0.1605849266052246,15.305603731206542,32.93362272336867,115.1736272658126
RF_5_15,0.17153620719909668,15.487341929693377,30.844848327362538,99.16166678172652
RF_5_17,0.18342375755310059,13.971821247639406,32.673072937198114,133.8497777640718
RF_5_20,0.18051624298095703,14.14683133079677,33.343893591163024,135.698672101755
RF_5_22,0.17729496955871582,14.955111299871284,34.81509717549526,132.79731241983407
RF_5_25,0.1761007308959961,16.5388573496528,32.960027035787114,99.28841720422143
RF_10_1,0.050863027572631836,58.591587497218505,60.99791459758063,4.1069498253078764
RF_10_3,0.08806300163269043,35.58169257057029,37.397931197603185,5.104418862117624
RF_10_5,0.12563681602478027,23.62577716263454,33.48231423306083,41.71941943994521
RF_10_7,0.1965029239654541,18.867891442400502,31.721855047402684,68.12612656926974
RF_10_10,0.2842390537261963,15.790351326573537,29.72256058333429,88.23242098049
RF_10_12,0.30017781257629395,15.490856668091272,30.78854133322686,98.75299341350444
RF_10_15,0.32801151275634766,13.047085354399208,33.35586554912932,155.65760200903728
RF_10_17,0.33443236351013184,14.925137754992276,32.2337646380434,115.96962900567934
RF_10_20,0.34604787826538086,13.038388973871685,32.34932086851853,148.10826654539179
RF_10_22,0.3271512985229492,14.0701579088182,30.943614639549036,119.92371969155886
RF_10_25,0.3420581817626953,14.481472053899244,32.292762903140506,122.99364859420791
RF_15_1,0.06784510612487793,55.54540040962173,57.58081727435638,3.664420185513811
RF_15_3,0.13364267349243164,35.352964358138735,39.00974360196485,10.343628349751878
RF_15_5,0.2009737491607666,22.97900846450776,34.30508897613411,49.28881300130966
RF_15_7,0.26993489265441895,17.571750736838958,31.310177328523665,78.18473410781013
RF_15_10,0.37543749809265137,14.70299593344576,31.813274096434732,116.37273274399287
RF_15_12,0.44084835052490234,12.959478052583279,32.12779860059048,147.909664804643
RF_15_15,0.4931926727294922,12.751576599919678,30.826824886086072,141.74912525154144
RF_15_17,0.49951744079589844,12.793303895892482,32.03918472777619,150.4371426529072
RF_15_20,0.540208101272583,12.93058685959554,28.740106444880567,122.26451712478222
RF_15_22,0.5056428909301758,12.827289419384968,30.540358717986898,138.08895020200785
RF_15_25,0.4954507350921631,13.96829341924677,30.446723447266336,117.97024542249451
RF_20_1,0.07648921012878418,55.303253257425894,57.27642558309071,3.56791365686949
RF_20_3,0.15675759315490723,34.53699237693,39.923361469953186,15.59594140172196
RF_20_5,0.23863554000854492,22.882247810985557,32.97080987331116,44.08903419655379
RF_20_7,0.33962583541870117,16.27651927037349,30.501240406093984,87.39412216721495
RF_20_10,0.5245711803436279,12.505975893188014,31.118360240817616,148.82792439866878
RF_20_12,0.6901228427886963,11.452207236584947,30.806684946591613,169.00216098235904
RF_20_15,0.8401501178741455,12.663361603047722,29.771142127442243,135.09667543788018
RF_20_17,0.798206090927124,11.812558396034305,30.674720057690386,159.6788860573037
RF_20_20,0.7974052429199219,13.243287924542555,32.66506333040498,146.6537276582944
RF_20_22,0.788301944732666,11.724813067750063,30.50484288028002,160.1733836097206
RF_20_25,0.8052980899810791,12.558688490918916,31.412309866241515,150.12412632860105
RF_25_1,0.11369895935058594,56.473837072537314,58.64388182295494,3.8425665102768374
RF_25_3,0.23436975479125977,34.89064635225922,39.38229146068021,12.87349355203375
RF_25_5,0.31572699546813965,23.236408776392167,32.36827975658309,39.2998378883262
RF_25_7,0.41808223724365234,16.12880894242702,30.74237903715459,90.60538907052461
RF_25_10,0.625232458114624,13.383347389677661,29.646521143200154,121.51798260923864
RF_25_12,0.7171139717102051,13.08170621938136,30.48368260653431,133.02528045898816
RF_25_15,0.8440237045288086,12.665822476628756,30.277288943058476,139.04716017397817
RF_25_17,0.8108906745910645,11.313173601996468,29.59846359799287,161.62829847116942
RF_25_20,0.8392670154571533,12.545344118005621,30.760397080443948,145.19372917236518
RF_25_22,0.8647143840789795,12.675378584853027,30.34533215253214,139.40375389492954
RF_25_25,0.8344309329986572,11.964453753588284,31.3724077027247,162.21345619991834
RF_30_1,0.10870838165283203,55.925449810349704,57.99159223030325,3.6944582957492416
RF_30_3,0.22892355918884277,35.54696933627187,39.546836845880854,11.252344670428897
RF_30_5,0.36304497718811035,22.971063495633654,32.77046998835065,42.6597858413463
RF_30_7,0.5495479106903076,15.819230140466875,30.28735533180914,91.4590979641394
RF_30_10,0.7501001358032227,13.256653564850447,31.209294830778017,135.42362843009164
RF_30_12,0.8601779937744141,11.65429267580708,30.487299181489544,161.59716449182315
RF_30_15,0.989206075668335,12.568469287538994,31.113739170963512,147.55392609194837
RF_30_17,0.9824004173278809,12.457179197009442,29.487306530441227,136.70933896110412
RF_30_20,0.9817636013031006,13.24948923335866,29.814191369158134,125.02143927249664
RF_30_22,1.0340359210968018,11.105562692125437,29.38737916615821,164.61855180913764
RF_30_25,0.9864234924316406,11.681481214996456,30.759086543801683,163.31495105529746
