,Run_Time,Train_RMSE,Validation_RMSE,delta%
RERF_1_5,0.11666059494018555,19.327196691149393,35976.13386642879,186042.5350056252
RERF_1_5_l2,0.02527165412902832,19.02364608524581,36.49378809777962,91.83382583049179
RERF_1_5_l1,0.02194046974182129,21.381700245732887,35.736719386056116,67.13693941709822
RERF_1_5_en_0.25,0.023904085159301758,23.320566997687095,35.656386795071434,52.89674045492886
RERF_1_5_en_0.5,0.027925968170166016,23.077652717901845,36.66307542825853,58.868303793384385
RERF_1_5_en_0.75,0.026928186416625977,22.42687713097147,35.95536877074077,60.322672482503066
RERF_2_5,0.09574270248413086,18.94017401634496,35976.20646550377,189846.54660752893
RERF_2_5_l2,0.028923988342285156,18.52542596783353,36.85215654314022,98.92744494581746
RERF_2_5_l1,0.027924537658691406,20.673226322005316,36.92723682439381,78.62348261087408
RERF_2_5_en_0.25,0.027926206588745117,22.484759305990988,35.9098239116323,59.7073974550586
RERF_2_5_en_0.5,0.034906864166259766,21.657566225697657,35.60220692230372,64.3869239566731
RERF_2_5_en_0.75,0.027924060821533203,21.989325298288353,35.20640941233261,60.10681971707915
RERF_3_5,0.08876299858093262,18.886900373059124,35976.06472111952,190381.57193880752
RERF_3_5_l2,0.024933576583862305,17.600740323804086,38.55882804614592,119.07503512222785
RERF_3_5_l1,0.026931047439575195,20.147637176169592,34.483540357576544,71.15426516794388
RERF_3_5_en_0.25,0.028920650482177734,20.209811993756677,35.362940635655015,74.97906782398334
RERF_3_5_en_0.5,0.027924537658691406,20.690766351197507,33.81247365299896,63.418179293499286
RERF_3_5_en_0.75,0.025931119918823242,20.649929885157384,35.79116321124477,73.32341276843995
RERF_4_5,0.08876180648803711,17.165842423479198,35976.167671681746,209479.97157467817
RERF_4_5_l2,0.025930404663085938,16.49503611790944,36.64690509123024,122.16929280585789
RERF_4_5_l1,0.028923988342285156,18.667015348085936,35.73705226173326,91.44491819040391
RERF_4_5_en_0.25,0.030916690826416016,20.520034415411857,32.670190850765735,59.211189364421024
