,Run_Time,Train_RMSE,Validation_RMSE,delta%
XGB_50_1_0.01,0.1545863151550293,127.73794425866504,128.04597219835586,0.24114051739166129
XGB_50_1_0.05,0.14612078666687012,45.71343554089051,50.04555946617931,9.476697329855542
XGB_50_1_0.1,0.14561104774475098,33.83926717356169,39.74268571923897,17.445468057563524
XGB_50_1_0.2,0.17054462432861328,26.529946424218448,38.11367654927725,43.66284778654637
XGB_50_1_0.5,0.16156721115112305,23.974620886474955,37.61363575871811,56.889387059869925
XGB_50_1_0.7,0.14461421966552734,23.935314231314855,39.97506597870796,67.01291486037023
XGB_50_2_0.01,0.18151497840881348,125.08879260512352,126.51737032311985,1.1420509289797238
XGB_50_2_0.05,0.17553114891052246,35.408334304669246,41.8563799270351,18.210530794484615
XGB_50_2_0.1,0.16891241073608398,23.561125094349396,36.17508547636997,53.53717333747253
XGB_50_2_0.2,0.17105579376220703,19.004291669783502,33.95188111535676,78.65375729493603
XGB_50_2_0.5,0.18695282936096191,15.660922423450558,33.75714100248784,115.55014506642425
XGB_50_2_0.7,0.2109837532043457,14.374453971052045,37.902910761405906,163.68243856592105
XGB_50_3_0.01,0.19191646575927734,123.96347605367814,127.01624547116255,2.4626361850021983
XGB_50_3_0.05,0.2189953327178955,28.857481209647922,41.87554611739649,45.11157717880186
XGB_50_3_0.1,0.18791460990905762,17.309369488171747,34.43903288738337,98.96179875827987
XGB_50_3_0.2,0.20441269874572754,13.65640903315678,33.5779929907505,145.8771768568556
XGB_50_3_0.5,0.19940757751464844,9.991436467964787,30.60916471390786,206.35399436356337
XGB_50_3_0.7,0.19594168663024902,9.19977111743061,32.40307381398674,252.21608668712778
XGB_50_4_0.01,0.22385931015014648,123.35099888581969,127.0538498262274,3.00188160116585
XGB_50_4_0.05,0.21741914749145508,25.07617328645781,40.29225812769995,60.67945323004874
XGB_50_4_0.1,0.22240591049194336,13.029165312274747,34.65615780546631,165.98908659802495
XGB_50_4_0.2,0.2318875789642334,9.891786676898246,33.680452658377895,240.48907197965403
XGB_50_4_0.5,0.21692752838134766,6.431550050668813,37.7056678074299,486.26097146688477
XGB_50_4_0.7,0.24336767196655273,5.1102135218601665,40.723860398369,696.9111314852677
XGB_100_1_0.01,0.26021671295166016,87.80616492215826,89.82657436511215,2.300988142170906
XGB_100_1_0.05,0.23488116264343262,34.02620613127263,39.85694569193549,17.136026091677547
XGB_100_1_0.1,0.2348794937133789,26.743301762565785,37.94635393333697,41.89105844235275
XGB_100_1_0.2,0.29688024520874023,21.86754423159327,38.915808666275936,77.96149514608997
XGB_100_1_0.5,0.2328968048095703,20.18188936128324,37.693204815388526,86.76747325599179
XGB_100_1_0.7,0.2373659610748291,19.753208996465208,38.08203970186762,92.78912964816155
XGB_100_2_0.01,0.2897360324859619,82.52101930123305,84.63697509717488,2.5641416136872803
XGB_100_2_0.05,0.36205148696899414,23.528578210443293,36.16923721159422,53.72470400927287
XGB_100_2_0.1,0.3002135753631592,18.529743806577,34.67604138118161,87.13718734132526
XGB_100_2_0.2,0.3036961555480957,15.689707113930004,32.41660238896674,106.61062793317453
XGB_100_2_0.5,0.3141763210296631,11.522743984223922,33.33073199650481,189.26037098575438
XGB_100_2_0.7,0.32614850997924805,10.118523765546616,37.06649967647988,266.3231963015259
XGB_100_3_0.01,0.35805654525756836,79.96637129671407,84.59182371480338,5.7842469816801305
XGB_100_3_0.05,0.3949611186981201,17.115242318761503,34.358190513360604,100.7461528937724
XGB_100_3_0.1,0.3969542980194092,13.478795832237545,32.95574349562817,144.50065054629852
XGB_100_3_0.2,0.3620479106903076,10.165819496278013,33.12850203903305,225.88127352804477
XGB_100_3_0.5,0.3829951286315918,5.901822052994897,30.672007729437368,419.7040414641572
XGB_100_3_0.7,0.3690314292907715,4.819042572976401,32.45707394856724,573.5170618864375
XGB_100_4_0.01,0.41191935539245605,78.5458868238865,84.93243378458249,8.130975686881893
XGB_100_4_0.05,0.39596033096313477,12.9919275105916,33.38316831339626,156.9531602310805
XGB_100_4_0.1,0.48822498321533203,9.706275103571715,33.750101125414666,247.71424429331603
XGB_100_4_0.2,0.41690492630004883,6.498307883400255,33.37347358775523,413.5717510862609
XGB_100_4_0.5,0.44832777976989746,2.6175085153235114,37.819936345978846,1344.8830299719
XGB_100_4_0.7,0.40692758560180664,1.6216870965426087,40.95256521736714,2425.3062261318387
XGB_150_1_0.01,0.3226451873779297,65.38539442066032,68.72135675724324,5.101999255553675
XGB_150_1_0.05,0.32913756370544434,29.602657880559928,38.12302433459101,28.78243733521782
XGB_150_1_0.1,0.342822790145874,23.545706071240637,38.19640643267045,62.22238703355163
XGB_150_1_0.2,0.33211278915405273,20.0639742660643,38.70254948521263,92.8957292906478
XGB_150_1_0.5,0.34110522270202637,18.30110004186744,37.11046592335178,102.7772420152567
XGB_150_1_0.7,0.3311307430267334,17.67099276813544,36.95812893777936,109.14574196659015
XGB_150_2_0.01,0.47873806953430176,57.829823979762466,60.93181997300903,5.3640073231627055
XGB_150_2_0.05,0.4181532859802246,20.188352234188105,35.21266585100937,74.42070280197626
XGB_150_2_0.1,0.42588305473327637,16.52787578510734,33.86688336832468,104.90765908853743
XGB_150_2_0.2,0.514153003692627,13.570955009147232,31.979525171044408,135.64682919875014
XGB_150_2_0.5,0.7580173015594482,9.243007466605826,32.92030583005673,256.16444051348986
XGB_150_2_0.7,0.5121638774871826,7.64161429305847,37.081188135686524,385.25333409421796
XGB_150_3_0.01,0.6268551349639893,53.66945030293202,60.558662578055056,12.8363756964857
XGB_150_3_0.05,0.6173853874206543,14.588894304967596,33.23103291036085,127.78308085380748
XGB_150_3_0.1,0.6119027137756348,11.52654632829377,32.555556901772846,182.4398217344598
XGB_150_3_0.2,0.6148855686187744,8.112677833356384,33.12373656340884,308.29596889964085
XGB_150_3_0.5,0.6353390216827393,3.948685582463703,30.777647545013696,679.4403201333291
XGB_150_3_0.7,0.7769651412963867,2.9318349957195786,32.412860549187926,1005.5485931681033
XGB_150_4_0.01,0.5989065170288086,51.372302985520356,60.03675899239726,16.86600658981366
XGB_150_4_0.05,0.588796854019165,10.76790800006199,32.50418953657658,201.86169436430419
XGB_150_4_0.1,0.5605337619781494,7.898154513056713,33.567573650867224,325.0052793393128
XGB_150_4_0.2,0.5734841823577881,4.489773013384721,33.58835481941542,648.108082953932
XGB_150_4_0.5,0.5914528369903564,1.1357915407138177,37.7488109814226,3223.568597605365
XGB_150_4_0.7,0.5920941829681396,0.5723495007167781,41.00564044765794,7064.440677646228
XGB_200_1_0.01,0.42387843132019043,53.08283993697443,57.22801530769208,7.808880187343487
XGB_200_1_0.05,0.42587757110595703,26.760947132208504,38.16604468172725,42.61843758060411
XGB_200_1_0.1,0.44781994819641113,21.802849687833866,38.21637302237566,75.28155066674908
XGB_200_1_0.2,0.42040371894836426,18.96464222932368,38.703962653584455,104.08485530899847
XGB_200_1_0.5,0.47475147247314453,17.12647794182962,36.95166314731614,115.75751460880109
XGB_200_1_0.7,0.47625303268432617,16.31604757717341,36.62022128540266,124.44296703715997
XGB_200_2_0.01,0.5430748462677002,43.77763691949375,48.21046789109802,10.125788606991648
XGB_200_2_0.05,0.5400819778442383,18.342040955696785,34.24628898783066,86.70926027560873
XGB_200_2_0.1,0.5256123542785645,15.040198541237364,33.53968763289708,123.00029843979539
XGB_200_2_0.2,0.5350918769836426,12.070268591167489,32.01195832363309,165.21330558508103
XGB_200_2_0.5,0.5450670719146729,7.724674189343095,32.34731186112005,318.7530900105297
XGB_200_2_0.7,0.5283067226409912,6.165368812630942,37.146783747322715,502.5070823211808
XGB_200_3_0.01,0.6268527507781982,38.25286486438992,48.12138050479118,25.798108652478966
XGB_200_3_0.05,0.6732332706451416,13.253450423576147,33.01169191998231,149.07998192877267
XGB_200_3_0.1,0.6278493404388428,10.019586623816519,32.39386314830588,223.30538538691602
XGB_200_3_0.2,0.6298401355743408,6.610588628474184,33.12070130566636,401.02499440070403
XGB_200_3_0.5,0.634192705154419,2.7893857318515813,30.758701056291876,1002.7051836202802
XGB_200_3_0.7,0.6448078155517578,1.6947158870147676,32.425693446339714,1813.3409732446298
XGB_200_4_0.01,0.7374677658081055,35.14135286174754,47.15803476505375,34.195274014014245
XGB_200_4_0.05,0.8477575778961182,9.565964513371997,32.258712279700944,237.22383388112496
XGB_200_4_0.1,0.8193540573120117,6.6790951178325635,33.49798861876993,401.53483410250305
XGB_200_4_0.2,0.9375112056732178,3.301956897429808,33.49891689015959,914.5170857994733
XGB_200_4_0.5,0.7704761028289795,0.5583297649128786,37.74437560301335,6660.229881153294
XGB_200_4_0.7,0.7786815166473389,0.22853265278368662,40.96579404375271,17825.57586181268
XGB_250_1_0.01,0.5380856990814209,46.210657862933985,50.689041005538975,9.691234337949439
XGB_250_1_0.05,0.5350959300994873,24.82018016139056,38.61370906309977,55.57384681343273
XGB_250_1_0.1,0.5130307674407959,20.708284753404413,38.069038284470324,83.83482136641871
XGB_250_1_0.2,0.5081675052642822,18.18970462872529,38.66583864419307,112.56990937132508
XGB_250_1_0.5,0.5450668334960938,16.270630641746756,36.9098459326698,126.84951029474846
XGB_250_1_0.7,0.5126454830169678,15.423952808632507,37.013367326506746,139.97329209793116
XGB_250_2_0.01,0.6482651233673096,35.75357090244997,42.10493698486479,17.764284579416934
XGB_250_2_0.05,0.6507856845855713,17.161674711973944,33.764018126132584,96.7408116794974
XGB_250_2_0.1,0.6647775173187256,14.028268640751339,33.35394218221201,137.76235711170133
XGB_250_2_0.2,0.6602540016174316,10.85001517762465,31.973066859316262,194.6822316456519
XGB_250_2_0.5,1.0412776470184326,6.569686398223157,32.224896716048974,390.5089035112018
XGB_250_2_0.7,0.8188529014587402,5.004125153253718,36.905045232692224,637.4924507772612
XGB_250_3_0.01,0.9993870258331299,29.346805975233057,41.96156362691202,42.98511280009504
XGB_250_3_0.05,1.0028700828552246,12.205482624186665,32.76062088185213,168.4090575569124
XGB_250_3_0.1,1.263075590133667,8.94862179707645,32.30422550501377,260.99665666469093
XGB_250_3_0.2,0.8821630477905273,5.508652500301254,33.03990470827032,499.78197402111414
XGB_250_3_0.5,0.7749595642089844,1.9484865463693837,30.822089144209667,1481.8476756557793
XGB_250_3_0.7,0.8078763484954834,1.0733636502277344,32.4645685346433,2924.563811878232
XGB_250_4_0.01,0.9160943031311035,25.6351256660183,40.49533147836401,57.96814108090863
XGB_250_4_0.05,0.9430103302001953,8.652525926919285,32.16956307287865,271.79389399798725
XGB_250_4_0.1,0.9210789203643799,5.7016694729792965,33.42981997436178,486.3163435339172
