,Run_Time,Train_AUC,Validation_AUC,delta%
EBLR_1_1,0.7531390190124512,0.7799703169848682,0.7801681846837545,0.025368619109916606
EBLR_1_1_l2,0.729076623916626,0.7799708614010892,0.7801692826893152,0.025439577046451663
EBLR_1_1_l1,2.8287882804870605,0.7799611470093681,0.7801588150363028,0.025343317124524242
EBLR_2_1,0.8038215637207031,0.7800944934781235,0.7801281684810965,0.004316785114424711
EBLR_2_1_l2,0.7739412784576416,0.780098060926032,0.7801351957166852,0.004760272139271525
EBLR_2_1_l1,2.807345390319824,0.7800974872037616,0.7801094047860695,0.001527704229712978
EBLR_3_1,0.8412477970123291,0.7792701808172413,0.77903182212876,-0.030587425818263507
EBLR_3_1_l2,0.8885960578918457,0.7792683018486275,0.7790276009073821,-0.03088807034424372
EBLR_3_1_l1,2.3979978561401367,0.7792588686822628,0.7790305533223343,-0.029299039010565863
EBLR_1_2,1.0914833545684814,0.7800439495605562,0.7804132839250352,0.04734789170366789
EBLR_1_2_l2,1.1563336849212646,0.7800417290637539,0.7804092579046458,0.04711656148613856
EBLR_1_2_l1,5.340961694717407,0.7800400890521564,0.780398692651139,0.045972457571815464
EBLR_2_2,1.7349367141723633,0.7794238583576064,0.779288926230838,-0.017311777837123583
EBLR_2_2_l2,1.4272634983062744,0.7794117718666365,0.7792673809217239,-0.018525630497827957
EBLR_2_2_l1,5.965098857879639,0.77940552009734,0.7792565228667344,-0.01911677897623383
EBLR_3_2,1.4709367752075195,0.7792699474960038,0.7789925867300562,-0.035592385775784614
EBLR_3_2_l2,1.570871114730835,0.7792694526746351,0.7789971007529172,-0.034949646849770984
EBLR_3_2_l1,4.355122089385986,0.7792651649742107,0.7790366289531038,-0.029327118852350367
EBLR_1_3,1.5359487533569336,0.7800218899956236,0.7803843941787257,0.04647359103013944
EBLR_1_3_l2,1.492042064666748,0.7800215541032138,0.7803843453784788,0.04651041671304198
EBLR_1_3_l1,6.579716920852661,0.7800415295571885,0.780400864262137,0.046066099218128535
EBLR_2_3,1.9700400829315186,0.779488701372856,0.7793793286886722,-0.014031336694314058
EBLR_2_3_l2,2.5265302658081055,0.779484133010653,0.7793763518735964,-0.013827239387192089
EBLR_2_3_l1,6.736286163330078,0.7794814548886215,0.7793641030115633,-0.015055121109322578
EBLR_3_3,1.8420896530151367,0.7792692531680696,0.7790161328493032,-0.03248175360921898
EBLR_3_3_l2,1.858898401260376,0.7792665975891527,0.7790107404219938,-0.032833072526203363
EBLR_3_3_l1,6.314006328582764,0.779266056554399,0.7790386785634836,-0.029178480058620396
EBLR_1_4,2.198428153991699,0.7800490645932916,0.7804112831149022,0.04643535106338654
EBLR_1_4_l2,2.1331796646118164,0.7800287329581042,0.7803864681892294,0.04586180175294516
EBLR_1_4_l1,11.742274761199951,0.7800416738331228,0.7804009618626313,0.046060106986710585
EBLR_2_4,2.319758892059326,0.7794993913178674,0.779373472659015,-0.01615378539802048
EBLR_2_4_l2,2.1582939624786377,0.7794820522811621,0.7793665430239205,-0.014818719289756064
EBLR_2_4_l1,18.22423791885376,0.7794831444950716,0.779364688614529,-0.01519672123498362
EBLR_3_4,3.419098377227783,0.7792677709582752,0.7790147908425067,-0.03246382375821489
EBLR_3_4_l2,3.0283539295196533,0.7792668850138657,0.7790152788449782,-0.03228754791536439
EBLR_3_4_l1,9.622265338897705,0.7792656845930057,0.7790435341880746,-0.028507659110787772
EBLR_1_5,3.1739444732666016,0.7800322440482255,0.7803837841756366,0.0450673840848798
EBLR_1_5_l2,2.932635545730591,0.7800273285220556,0.7803782697477093,0.04499088850113134
EBLR_1_5_l1,24.36815071105957,0.7800412364966969,0.780401035063002,0.04612558278598189
EBLR_2_5,2.8702993392944336,0.7795008622561044,0.7793705934444335,-0.01671182393485107
EBLR_2_5_l2,2.7210283279418945,0.7794486952342755,0.7793290156338667,-0.015354391012592027
EBLR_2_5_l1,15.339840650558472,0.7794835243465549,0.7793659330208311,-0.01508580002666909
EBLR_3_5,2.846853494644165,0.7792832670953502,0.7790383125616301,-0.03143331110304924
EBLR_3_5_l2,2.7650184631347656,0.7792535845761668,0.7790117164269366,-0.031038439093195692
EBLR_3_5_l1,13.171111345291138,0.7792659551103825,0.7790427533841203,-0.028642560963747843
EBLR_1_6,2.886141061782837,0.7800172337152731,0.7803767081398008,0.04608544644782543
EBLR_1_6_l2,3.3709261417388916,0.7800249107729993,0.7803825641694581,0.04585153519063077
EBLR_1_6_l1,39.70970010757446,0.7800414529105983,0.7804013522646085,0.04613849080292403
EBLR_2_6,3.542495012283325,0.7795066502008149,0.7793760834722372,-0.016749918495764016
EBLR_2_6_l2,3.357988119125366,0.7794837881009974,0.7793827691060959,-0.01295973007309785
EBLR_2_6_l1,28.286107540130615,0.7794829562600634,0.7793649082156412,-0.015144403540080077
EBLR_3_6,3.3703951835632324,0.7792737189591004,0.7790366533532274,-0.03042135261402822
EBLR_3_6_l2,3.3060696125030518,0.7792746049035097,0.7790371413556987,-0.03047238371645262
EBLR_3_6_l1,21.665818452835083,0.7792659460931367,0.7790420457805367,-0.02873220801223621
EBLR_1_7,3.161383867263794,0.7800267424010722,0.7803702909073013,0.04404317025998073
EBLR_1_7_l2,3.171658992767334,0.7800287216865467,0.780375488133622,0.044455599830421
EBLR_1_7_l1,44.11466073989868,0.7800414314946393,0.7804019134674506,0.04621318282036938
EBLR_2_7,3.8435745239257812,0.7794725063992238,0.779349414137173,-0.01579173877722737
EBLR_2_7_l2,3.614466905593872,0.7794709227454131,0.779353635358551,-0.015047050946944328
EBLR_2_7_l1,29.03685188293457,0.7794833316029239,0.779365493818607,-0.01511742195623779
EBLR_3_7,3.9646313190460205,0.7792744099055673,0.7790382393612594,-0.030306467311884563
EBLR_3_7_l2,4.198913335800171,0.7792725095209944,0.7790342377409937,-0.03057618189908289
EBLR_3_7_l1,21.49332904815674,0.7792662199919808,0.7790443149920289,-0.028476147721914292
EBLR_1_8,3.985882043838501,0.7800265609289985,0.7803760005362171,0.04479842414628734
EBLR_1_8_l2,3.7465522289276123,0.7800274773066128,0.780377488943755,0.04487170610332601
EBLR_1_8_l1,50.977869749069214,0.7800419871824178,0.7804019622676976,0.04614816781595484
EBLR_2_8,4.296444416046143,0.7794703287343395,0.7793407032930577,-0.01662993913986303
EBLR_2_8_l2,4.1052086353302,0.7794688510331681,0.7793485845329715,-0.01542928880829245
EBLR_2_8_l1,24.812748670578003,0.7794835209650877,0.779365835420337,-0.015097887458218443
EBLR_3_8,4.4742701053619385,0.7792794313843764,0.7790369949549574,-0.031110333425370767
EBLR_3_8_l2,4.403445720672607,0.7792775929933691,0.7790339693396343,-0.031262756163557774
EBLR_3_8_l1,25.66733407974243,0.7792651863901698,0.7790422409815253,-0.028609696998950836
EBLR_1_9,3.8987114429473877,0.7800435505474254,0.7804011326634962,0.04584130152988197
EBLR_1_9_l2,3.964709997177124,0.7800448050717608,0.7804019866678213,0.045789882034752455
EBLR_1_9_l1,39.99593544006348,0.7800410336086641,0.7804012790642377,0.04618288526528995
EBLR_2_9,4.820332050323486,0.7794970287994423,0.7793681534320762,-0.016533144143544037
EBLR_2_9_l2,4.627087593078613,0.779480153023745,0.7793646154141584,-0.014822392736801695
EBLR_2_9_l1,27.76593327522278,0.7794837892281532,0.7793660306213254,-0.015107255398401348
EBLR_3_9,4.919925689697266,0.7792722908527814,0.7790191584646261,-0.03248317579446646
EBLR_3_9_l2,4.961185455322266,0.7792764455488286,0.7790286745128192,-0.03179501156805398
EBLR_3_9_l1,30.370524644851685,0.7792651672285222,0.7790418993797952,-0.02865107515598551
EBLR_1_10,4.341685056686401,0.780030590510759,0.7803799533562358,0.04478835185784943
EBLR_1_10_l2,5.251241207122803,0.7800073226348759,0.7803576760434145,0.04491668198128172
EBLR_1_10_l1,69.9609580039978,0.7800419635121473,0.7804012302639907,0.046057362122646286
EBLR_2_10,5.311111927032471,0.7794705011891674,0.779331626447089,-0.01781654878106884
EBLR_2_10_l2,5.243751287460327,0.7794882245859791,0.7793519517500245,-0.017482346962587183
EBLR_2_10_l1,48.587923765182495,0.7794828412901781,0.7793645666139112,-0.01517348041569975
EBLR_3_10,5.439739465713501,0.7792772469565579,0.7790342865412407,-0.031177660616424047
EBLR_3_10_l2,5.346857070922852,0.7792754626690258,0.7790302117206043,-0.03147166312430156
EBLR_3_10_l1,30.878862380981445,0.7792652021703501,0.7790424605826374,-0.02858354089113375
