,Run_Time,Train_AUC,Validation_AUC,delta%
LRF_5_1,54.184969663619995,0.7748852074164034,0.774659332184722,-0.029149508794275285
LRF_5_1_l2,34.63095831871033,0.7712455550388073,0.7726852157870068,0.18666697510198496
LRF_5_2,50.014408588409424,0.7739660507995926,0.7746905033425852,0.09360262536633775
LRF_5_2_l2,61.29745101928711,0.7754975815475984,0.776635900794856,0.14678566050276384
LRF_5_3,59.05760860443115,0.7801717374607937,0.7798132970864619,-0.04594377841710417
LRF_5_3_l2,55.120914459228516,0.7801159612862942,0.7808078583233177,0.0886915627110875
LRF_5_4,77.32535338401794,0.7748913357621466,0.7744783808683121,-0.05329197460033081
LRF_5_4_l2,64.24470734596252,0.7828600512345485,0.7839649537121116,0.14113665345686224
LRF_5_5,52.44959998130798,0.7813841873269354,0.7835032667739442,0.2711955887228888
LRF_5_5_l2,41.1496639251709,0.7767818019281505,0.777670307433505,0.11438289403137278
LRF_5_7,67.60064721107483,0.7734019572572445,0.7736125546834219,0.027230009466786692
LRF_5_7_l2,55.99271106719971,0.7842595959907738,0.7857554835800711,0.19073883149718002
LRF_10_1,96.34083271026611,0.7666534481731899,0.7685919242569412,0.2528490660767754
LRF_10_1_l2,89.48629546165466,0.7787929515317803,0.7795770428899761,0.10068033572383925
LRF_10_2,135.93167209625244,0.7734276383735608,0.7743449975928057,0.1186095729878589
LRF_10_2_l2,126.03000903129578,0.780483051112473,0.7820313049193406,0.1983712272368761
LRF_10_3,125.00165939331055,0.7793761931957919,0.7802205961491872,0.10834343681102739
LRF_10_3_l2,137.9061417579651,0.776859430270927,0.7776381358705753,0.10023764522968472
LRF_10_4,129.301607131958,0.781361298738958,0.7814309154787284,0.008909673397289628
LRF_10_4_l2,115.70457625389099,0.7751677983220095,0.7770803734458434,0.246730466355016
LRF_10_5,118.27906584739685,0.7756273267537737,0.7753564437151735,-0.03492438046682123
LRF_10_5_l2,126.70838236808777,0.7765150520692748,0.7757698428087919,-0.09596842437208229
LRF_10_7,148.69482922554016,0.77754313927084,0.7772018128608611,-0.04389806722479045
LRF_10_7_l2,145.9452805519104,0.7788089458716911,0.7790086420113667,0.02564122314388776
LRF_15_1,126.3351411819458,0.775362541527348,0.7774267331999476,0.2662227747723649
LRF_15_1_l2,119.41305541992188,0.7680281284374306,0.7696221584744594,0.20754839282668266
LRF_15_2,194.43542194366455,0.780002124192616,0.7803480379946036,0.044347802558309696
LRF_15_2_l2,162.3387279510498,0.7779651987915881,0.7786604034477472,0.0893619222606605
LRF_15_3,172.67464780807495,0.774073942146757,0.7747561518750555,0.08813237226492723
LRF_15_3_l2,194.64042115211487,0.77855327651729,0.7786349175186762,0.010486244660274967
LRF_15_4,195.62849736213684,0.7791551962790226,0.7795777992938068,0.054238618545104554
LRF_15_4_l2,187.79955124855042,0.7807792749667205,0.7818955670319097,0.14297152869954582
LRF_15_5,191.11360955238342,0.7826835921860009,0.7831717056947862,0.06236409114212096
LRF_15_5_l2,168.027498960495,0.7783417708154059,0.7784779637237995,0.017497828524728823
LRF_15_7,213.9391417503357,0.7806181249473957,0.7800141467036447,-0.07737179351193328
LRF_15_7_l2,166.79748034477234,0.7792819776291867,0.7800772210230782,0.10204822089057529
LRF_20_1,172.9371840953827,0.7788966211171311,0.7806495991218297,0.22505913585610898
LRF_20_1_l2,174.53316020965576,0.7733929879154657,0.7747506984474374,0.17555247502710064
LRF_20_2,190.10558247566223,0.7782990719017695,0.7800504906877052,0.2250315912180227
LRF_20_2_l2,190.01907444000244,0.7776355558968884,0.7777560128675516,0.015490157278659676
LRF_20_3,203.2607033252716,0.7807885807644868,0.7812930303804231,0.06460770922679254
LRF_20_3_l2,205.26359820365906,0.7775888138756225,0.7788805657627372,0.166122745603352
LRF_20_4,248.877583026886,0.7799903826113017,0.7803976434458255,0.0522135712956293
LRF_20_4_l2,224.9981541633606,0.7827988675303998,0.7828234183309198,0.0031362846241013848
LRF_20_5,240.65478658676147,0.7818837021720543,0.7821957861523394,0.03991437338036175
LRF_20_5_l2,233.1483244895935,0.7752595082214109,0.7759150723442924,0.08456060402089952
LRF_20_7,213.09555554389954,0.783640452725799,0.7852618080799008,0.20690041567687134
LRF_20_7_l2,190.90372943878174,0.7813814393212482,0.7821842204937662,0.10273870508306755
LRF_25_1,190.52025198936462,0.7766406561052716,0.7782239340372915,0.20386235507677905
LRF_25_1_l2,200.17872405052185,0.7714141149799485,0.773411717266301,0.25895329727074134
LRF_25_2,297.4156494140625,0.7805140839642295,0.7817282065843294,0.15555422317729023
LRF_25_2_l2,273.8759639263153,0.7782759212500832,0.7792417851920969,0.1241030225453088
LRF_25_3,305.68678641319275,0.778753695515343,0.778991805926102,0.03057583060345801
LRF_25_3_l2,320.91057205200195,0.7782314932795458,0.779448551839246,0.15638772912818222
LRF_25_4,334.91608786582947,0.7832684456827167,0.7840137173590701,0.09514894675781453
LRF_25_4_l2,338.39359879493713,0.7800292018548908,0.7815529404967119,0.19534379459098183
LRF_25_5,353.1377663612366,0.7819715898863507,0.7827142643781204,0.09497461306460216
LRF_25_5_l2,294.95980525016785,0.781530086929136,0.7817020618519221,0.022004901111605385
LRF_25_7,332.81963062286377,0.7787948389540622,0.7794739279677608,0.08719742090364263
LRF_25_7_l2,319.65852904319763,0.7776054180067873,0.7781392412083732,0.06864962476139075
LRF_30_1,318.83459305763245,0.7734682187979891,0.7749320889660714,0.1892605452305695
LRF_30_1_l2,307.886057138443,0.7777608200954302,0.7788939370304547,0.14568963950709934
LRF_30_2,388.1579566001892,0.7813112580964273,0.7827986644055561,0.1903730803460701
