,Run_Time,Train_AUC,Validation_AUC,delta%
RF_1_1,0.0967411994934082,0.6738521244351799,0.6810436952776904,1.067232792140913
RF_1_3,0.11868166923522949,0.761094515020324,0.7661962713243965,0.6703183643277559
RF_1_5,0.1266615390777588,0.7769826999673918,0.7763304966481671,-0.08394052007233058
RF_1_7,0.1625661849975586,0.7780227457277507,0.7729043288966833,-0.6578749604909953
RF_1_10,0.2044517993927002,0.7900080750338737,0.7563317649665906,-4.262780486875295
RF_1_12,0.2229149341583252,0.795013016777686,0.7377994685116284,-7.19655490647854
RF_1_15,0.2273709774017334,0.8094043265070437,0.6843574272597545,-15.44925016486196
RF_1_20,0.2611536979675293,0.8202743870603748,0.6191574422609506,-24.51825242528527
RF_1_22,0.26503944396972656,0.825826974890018,0.5820487461276699,-29.51928626390704
RF_1_25,0.27789974212646484,0.8379640475372612,0.582962908957356,-30.43103571440112
RF_1_27,0.2800102233886719,0.8472691171609497,0.5926303843173183,-30.054055752307026
RF_1_30,0.2833731174468994,0.8546362329838484,0.6085187565823909,-28.79792207524027
RF_1_32,0.30019664764404297,0.8565439677393238,0.6024092340413248,-29.669782669620183
RF_1_35,0.29122090339660645,0.8580888406297911,0.6144170106535088,-28.397039844666924
RF_1_37,0.2767679691314697,0.85688173179111,0.6087664056365847,-28.955609268959268
RF_1_40,0.29674625396728516,0.8581014146156174,0.6161708671357395,-28.19370104269663
RF_1_42,0.3012261390686035,0.858954385211118,0.6157442919753923,-28.314669256382967
RF_1_45,0.29096198081970215,0.8561838110480847,0.6079306892041824,-28.99530669004439
RF_1_47,0.3006770610809326,0.8586730601014048,0.6147763512733534,-28.403908327955282
RF_1_50,0.3001973628997803,0.8576501719056776,0.6131003555854408,-28.513935440233524
RF_1_55,0.2952094078063965,0.8584177773614214,0.6145370958616683,-28.410488218147837
RF_1_60,0.3023695945739746,0.8588221095403129,0.6217212730452152,-27.60767728977153
RF_5_1,0.13978934288024902,0.7316944458481291,0.7359047745161401,0.5754217066839487
RF_5_3,0.24844622611999512,0.7789495433333039,0.7809675083318492,0.2590623508051632
RF_5_5,0.3390927314758301,0.7862601813272567,0.7857472241382419,-0.06524013312601946
RF_5_7,0.531580924987793,0.7943796431715291,0.7900458061079805,-0.5455624525127489
RF_5_10,0.5760302543640137,0.8144278668840977,0.7869511872355925,-3.3737401144717265
RF_5_12,0.6896014213562012,0.8376224342486325,0.780960285895272,-6.764640730305628
RF_5_15,0.8575263023376465,0.8794989232100897,0.7678508193036893,-12.694512859537703
RF_5_20,1.05008864402771,0.9501346640010966,0.7376334500708446,-22.365378507020427
RF_5_22,1.1074252128601074,0.9627396933871288,0.7259497925001291,-24.59542309447334
RF_5_25,1.1649105548858643,0.9820260516845452,0.7193019910330034,-26.753267920018097
RF_5_27,1.214303731918335,0.9870093075155516,0.7110716707513693,-27.956943735288384
RF_5_30,1.2420170307159424,0.9903849732565618,0.7121816079725354,-28.090426732671876
RF_5_32,1.2509956359863281,0.992056225666173,0.7106788409619222,-28.363048124142743
RF_5_35,1.2779335975646973,0.992304380836852,0.7111860219304895,-28.32985163980467
RF_5_37,1.2219696044921875,0.9920082595537766,0.7056683365867238,-28.86467125746047
RF_5_40,1.2796745300292969,0.9923459176529237,0.7117270336703894,-28.27833308834971
RF_5_42,1.2516794204711914,0.9926306422643402,0.7105384548509507,-28.418645909408426
RF_5_45,1.2781634330749512,0.9925402877697129,0.7147422545406739,-27.988590151163027
RF_5_47,1.2925925254821777,0.9926415255165605,0.7110073032253864,-28.372198326542357
RF_5_50,1.2585279941558838,0.9928841271909224,0.7135982303468777,-28.128750293773265
RF_5_55,1.356194257736206,0.9926649658472713,0.7109475961230058,-28.37990454148955
RF_5_60,1.5950541496276855,0.9926579729730778,0.7149416279503806,-27.977042705950158
RF_10_1,0.2817561626434326,0.7398423300514706,0.7456274185554985,0.7819353217631462
RF_10_3,0.541501522064209,0.7786659813830301,0.7798237525394123,0.14868649511640153
RF_10_5,0.7829277515411377,0.788378308718326,0.7873046962259035,-0.13617986194571113
RF_10_7,1.1057372093200684,0.7944970809642098,0.7881563947392456,-0.798075458914094
RF_10_10,1.2213892936706543,0.8183661439576617,0.7890009074161956,-3.588276074014296
RF_10_12,1.333390474319458,0.8441344778941586,0.7882482978046794,-6.620530443075501
RF_10_15,1.6247169971466064,0.8919615793006451,0.7806990459722484,-12.473915458963342
RF_10_20,2.0563457012176514,0.9660622368418228,0.7607357432700983,-21.253961260608037
RF_10_22,2.391432762145996,0.9810686208039441,0.7519896165762141,-23.349947126023604
RF_10_25,2.2904646396636963,0.9916623467295882,0.7491627402597818,-24.453848355697676
RF_10_27,2.3726937770843506,0.9933348159038176,0.7463466121977829,-24.864547154858816
RF_10_30,2.564682722091675,0.997935539311468,0.7397385585319558,-25.873112100773245
RF_10_32,2.5916836261749268,0.9982297404847451,0.7335297152878901,-26.51694439281236
RF_10_35,2.5261247158050537,0.9989260882819393,0.7388546762556223,-26.035100602249347
RF_10_37,2.5538675785064697,0.9989897522922876,0.7379076098592994,-26.134616679891625
RF_10_40,2.5690760612487793,0.9990444672496605,0.7388915326422778,-26.04017570144559
RF_10_42,3.1442677974700928,0.9990663588683885,0.744276481313812,-25.502798216844084
RF_10_45,2.8830177783966064,0.9991482580042532,0.7371614418804062,-26.22101515216091
RF_10_47,2.5845813751220703,0.9989722323470864,0.7399966996392857,-25.924197322215594
RF_10_50,2.5745606422424316,0.9991451470544185,0.7407377557922905,-25.862848058056354
RF_10_55,2.5019962787628174,0.99906532188511,0.738906062915865,-26.04026516287817
RF_10_60,2.6020798683166504,0.9991062353840588,0.7462199755564443,-25.311248280860195
RF_15_1,0.34108686447143555,0.7373174656947447,0.7429064631754922,0.7580177794216911
RF_15_3,0.6383543014526367,0.7823933388756932,0.7832979153339623,0.11561658482024148
RF_15_5,0.9436531066894531,0.7864916190876196,0.7858017218142398,-0.08771832485387232
RF_15_7,1.193169355392456,0.7956467522008348,0.7890983737098037,-0.8230258557478719
RF_15_10,1.6337404251098633,0.8185644179783469,0.7899572214593523,-3.4948008844126552
RF_15_12,1.9750800132751465,0.8477658890725822,0.7895487267905721,-6.8671272378860495
RF_15_15,2.403078079223633,0.8977751808936174,0.7826887418488643,-12.819071132062225
RF_15_20,3.046497344970703,0.9709922531623166,0.768746596640264,-20.828761080573116
RF_15_22,3.6972343921661377,0.9823982086393404,0.7648861310893222,-22.1409277457133
RF_15_25,4.02548360824585,0.9948542889033251,0.7581190130179296,-23.795974800124746
RF_15_27,3.5651965141296387,0.9971728313474021,0.7564473361518892,-24.140799631518163
RF_15_30,3.66898775100708,0.9989980943718986,0.7531351657777335,-24.610950709445223
RF_15_32,3.6333484649658203,0.9995407308140556,0.75190160533049,-24.775291076120624
RF_15_35,3.6570796966552734,0.999732239646006,0.7509373856472958,-24.88614892391643
RF_15_37,3.7182981967926025,0.9997436842217837,0.7516740985783048,-24.813318609417394
RF_15_40,3.752948760986328,0.9997839851115893,0.7503519534824332,-24.948592430325448
RF_15_42,4.3075573444366455,0.9998016622950157,0.7524234385732624,-24.742729788416604
RF_15_45,4.210330009460449,0.9997703177846979,0.7473482494704745,-25.24800584933778
RF_15_47,3.720715045928955,0.9998248371805504,0.7479210301712653,-25.19479389206209
