,Run_Time,Train_AUC,Validation_AUC,delta%
RERF_1_5,0.49665403366088867,0.7799310615320088,0.7803639468751725,0.055503026423060764
RERF_1_5_l2,0.49840426445007324,0.7799310502604514,0.7803545528275975,0.054300000878878624
RERF_1_5_l1,1.5069761276245117,0.7799542448712115,0.7804295588074576,0.06094125897405671
RERF_1_5_en_0.25,9.246708393096924,0.7799467752101411,0.780390201408136,0.05685339206324623
RERF_1_5_en_0.5,9.214333295822144,0.7799370467289732,0.7804952439401134,0.07156952134549854
RERF_1_5_en_0.75,8.71373724937439,0.7799258867600194,0.7803792701527758,0.058131599483100815
RERF_2_5,0.6542434692382812,0.7817714318248509,0.7812173167969791,-0.07087941632483077
RERF_2_5_l2,0.660254955291748,0.781989306520228,0.7812089963548412,-0.09978527313360865
RERF_2_5_l1,1.3026556968688965,0.781725839502437,0.7811237911233277,-0.07701528447524074
RERF_2_5_en_0.25,9.396242618560791,0.7817043660584877,0.7811591713025071,-0.06974436624034291
RERF_2_5_en_0.5,9.199841499328613,0.7818364529307067,0.7813309237723305,-0.06465919521675335
RERF_2_5_en_0.75,8.919186353683472,0.781779069432126,0.7812041163301267,-0.07354419227634687
RERF_3_5,0.8197174072265625,0.7856672235807906,0.7854994408833684,-0.02135544062248539
RERF_3_5_l2,0.829329252243042,0.786133462534236,0.7864044170665299,0.034466734365993935
RERF_3_5_l1,1.5967166423797607,0.7854996651175219,0.7857101115502889,0.02679140961002624
RERF_3_5_en_0.25,9.745956420898438,0.7853799871028135,0.784899637045722,-0.06116148424707564
RERF_3_5_en_0.5,9.145517110824585,0.7860825951229721,0.7861293056732557,0.005942193679570604
RERF_3_5_en_0.75,9.162524938583374,0.785866092176127,0.7860165039019823,0.019139612632831562
RERF_4_5,1.0000278949737549,0.7889753997448805,0.7893206222353591,0.04375579905156303
RERF_4_5_l2,0.9986534118652344,0.7890735941712378,0.7892056732532117,0.01673849979894482
RERF_4_5_l1,1.8380801677703857,0.7890440874883495,0.788506560912627,-0.06812376953910282
RERF_4_5_en_0.25,9.755936622619629,0.7889656149059259,0.7884966788625805,-0.05943681631820271
RERF_4_5_en_0.5,9.566416263580322,0.7893087943774515,0.7895334889134012,0.028467253570508708
RERF_4_5_en_0.75,9.304092407226562,0.7889125393965728,0.7892198009247599,0.038947476791543006
RERF_5_5,1.1637961864471436,0.7910959527750963,0.7892368322110132,-0.235005697799549
RERF_5_5_l2,1.1658515930175781,0.7910821575160286,0.7893322122940559,-0.2212090369308116
