,Run_Time,Train_RMSE,Validation_RMSE,delta%
GB_50_2_0.01,10.289460897445679,25.6286344435734,25.993639352628865,1.424207403086951
GB_50_2_0.05,10.959651708602905,16.054283651823418,16.590860027528777,3.3422629582380345
GB_50_2_0.1,10.477983951568604,14.48242359968993,15.063586440446816,4.012883870965687
GB_50_2_0.2,10.506884813308716,13.36218326016802,14.104417856279497,5.55474043170804
GB_50_2_0.5,10.599693775177002,12.253007648422523,13.016036778230516,6.22728028661785
GB_50_3_0.01,15.12656021118164,24.55141367932408,24.965845796371624,1.6880173274769754
GB_50_3_0.05,15.900781393051147,14.269386355239673,14.89163505159352,4.360724987485946
GB_50_3_0.1,15.374897241592407,12.780362384687235,13.50238168492144,5.649443094816239
GB_50_3_0.2,15.491368293762207,11.613733077729892,12.481869208986097,7.475082520373356
GB_50_3_0.5,15.988283395767212,10.293385079314351,11.741658440247507,14.069942489994032
GB_50_4_0.01,19.89584231376648,23.983905500509536,24.45362427137944,1.9584749066824174
GB_50_4_0.05,19.93302345275879,12.835608090289632,13.578330744887896,5.786423591104711
GB_50_4_0.1,20.149131059646606,11.109666574715208,12.068276351103487,8.628609778172867
GB_50_4_0.2,20.445322275161743,10.192715226928712,11.41050138734955,11.947612910870888
GB_50_4_0.5,21.15245223045349,8.670567685503482,11.072609569866913,27.70339811059268
GB_75_2_0.01,15.42478895187378,22.992061068688916,23.379067284265847,1.6832167173736556
GB_75_2_0.05,15.578594207763672,14.985968959527716,15.573000972058866,3.9172109198713465
GB_75_2_0.1,15.574363946914673,13.867464745868467,14.510976582854108,4.640443287785256
GB_75_2_0.2,15.552423000335693,12.718469943270023,13.492489730564378,6.085793265595816
GB_75_2_0.5,15.54946231842041,11.578493306954828,12.53825802188707,8.289202139588777
GB_75_3_0.01,22.615508556365967,21.587263320203135,22.041733124867804,2.105268268253987
GB_75_3_0.05,22.637481212615967,13.193805961872107,13.838060431899162,4.883007010174649
GB_75_3_0.1,23.17536950111389,12.189708335196132,12.954220351875463,6.271782684675947
GB_75_3_0.2,23.4383544921875,10.99380521026849,11.99062246930877,9.067081324209989
GB_75_3_0.5,23.378493547439575,9.41132731835312,11.194981086976256,18.952202046408647
GB_75_4_0.01,30.286033153533936,20.746088574702224,21.270612656046865,2.5283034893827905
GB_75_4_0.05,30.125436544418335,11.662251806850632,12.541400621813125,7.538413931742271
GB_75_4_0.1,30.676018238067627,10.634157093095299,11.698449003999595,10.008239502078974
GB_75_4_0.2,30.82659363746643,9.390872517731983,10.92581342321458,16.345029735887675
GB_75_4_0.5,31.027047634124756,7.87913343893605,10.739171995640708,36.298897319993365
GB_100_2_0.01,20.658745050430298,21.068382536469283,21.482743048009123,1.966740972272474
GB_100_2_0.05,20.8702392578125,14.504906527396251,15.10075366802849,4.1079005887202955
GB_100_2_0.1,20.950958251953125,13.439251987598977,14.13652485751056,5.188330946952917
GB_100_2_0.2,20.931041479110718,12.335204684214343,13.190049135546827,6.930119711969183
GB_100_2_0.5,20.84530472755432,11.087094360267274,12.197041482038896,10.011163301264308
GB_100_3_0.01,30.225489139556885,19.45537873527798,19.940724370180575,2.494660430447088
GB_100_3_0.05,30.480718851089478,12.728586340006906,13.405907911605054,5.321263127777787
GB_100_3_0.1,30.846539974212646,11.74054146519043,12.587624744987833,7.2150273674252805
GB_100_3_0.2,31.181612253189087,10.497460342082029,11.628846412346082,10.77771225987464
GB_100_3_0.5,31.129777193069458,8.85791861041303,11.022215170609421,24.433466318511062
GB_100_4_0.01,40.310267210006714,18.40052774056927,18.97720196729354,3.1340091700349646
GB_100_4_0.05,40.8440318107605,11.118791032388812,12.101092794635766,8.834609440770404
GB_100_4_0.1,40.94850134849548,10.191528127237875,11.446896676649159,12.317765635716452
GB_100_4_0.2,41.149325132369995,8.905791097629429,10.68958617621267,20.029608364135747
GB_100_4_0.5,42.21614646911621,7.3124861883013015,10.63290094837916,45.407467099082396
GB_150_2_0.01,31.0629563331604,18.46273268170405,18.94656776437954,2.6206038456861527
GB_150_2_0.05,31.35318613052368,13.876606856837931,14.523117829292007,4.658998983858193
GB_150_2_0.1,31.548627614974976,12.816985693733042,13.572057356734772,5.891179728560738
GB_150_2_0.2,31.463885068893433,11.669152875286144,12.579000342605624,7.7970310016798825
GB_150_2_0.5,31.35338830947876,10.289460274364643,11.630037738956183,13.028647070356842
GB_150_3_0.01,45.96614384651184,16.778105337013844,17.305560018102955,3.1437082465175834
GB_150_3_0.05,46.259334325790405,12.144335983595358,12.891659966704449,6.153683364150831
GB_150_3_0.1,46.47774624824524,11.04010439421718,11.989999279845655,8.604038981062823
GB_150_3_0.2,46.59041476249695,9.735281878709763,11.109422904566197,14.115061515183893
GB_150_3_0.5,47.13399267196655,8.022272853628028,10.829988727955465,34.9990074578137
GB_150_4_0.01,60.95307683944702,15.47971394062692,16.12756447122784,4.185158285778247
GB_150_4_0.05,61.37011790275574,10.612383924357268,11.727631874822862,10.508929552632432
GB_150_4_0.1,61.725016832351685,9.471112962360477,10.95400334383111,15.656981258315103
GB_150_4_0.2,62.109365940093994,8.10807598907138,10.30881826757417,27.14259562279756
GB_150_4_0.5,62.125932455062866,6.4730668053793625,10.425744146549844,61.06344117884984
GB_200_2_0.01,41.82219219207764,16.984429542462173,17.500968461723712,3.041249739769934
GB_200_2_0.05,41.64367151260376,13.424887040936,14.11278423209167,5.124044538014298
GB_200_2_0.1,41.723456144332886,12.349457918172853,13.126895890375692,6.295320631513717
GB_200_2_0.2,41.38635849952698,11.177872400961409,12.21818340975288,9.306878549642366
GB_200_2_0.5,41.23578190803528,9.758729862601548,11.490603880467688,17.746920370274964
GB_200_3_0.01,60.5662796497345,15.221216548253915,15.804751781442272,3.8336964153847255
GB_200_3_0.05,61.62824463844299,11.736372977387443,12.54313777239512,6.874055524326609
GB_200_3_0.1,62.13788175582886,10.54052693036766,11.612878003446745,10.173600239942473
GB_200_3_0.2,62.03013896942139,9.181421441623996,10.813752153584039,17.778627441714715
GB_200_3_0.5,62.234654664993286,7.349943671749984,10.724040367956194,45.90642931285016
GB_200_4_0.01,80.29926037788391,13.875929071967844,14.580874519861688,5.08034773194376
GB_200_4_0.05,82.85549569129944,10.163975539608796,11.40903064368391,12.249686151084884
GB_200_4_0.1,82.83159255981445,8.9613209148191,10.615057085991845,18.45415633356022
GB_200_4_0.2,83.42667150497437,7.517155136429965,10.047528583647127,33.661317363989944
GB_200_4_0.5,83.66835355758667,5.760677252369834,10.416588150705946,80.82228346364586
GB_250_2_0.01,52.42496919631958,16.113284741259587,16.649385945239153,3.3270758420027686
GB_250_2_0.05,52.70368671417236,13.107827011393471,13.825138586755294,5.472391226542182
GB_250_2_0.1,52.536869287490845,12.027758804608325,12.912309518991913,7.354243868314687
GB_250_2_0.2,53.16206169128418,10.79374626199577,11.930661869098316,10.533095549091867
GB_250_2_0.5,52.63860821723938,9.3206909467066,11.205499997424248,20.22177391670337
GB_250_3_0.01,79.27260160446167,14.325807525345983,14.93080395553307,4.223122704368991
GB_250_3_0.05,77.58784079551697,11.391512129342008,12.273824213601578,7.745346484659666
GB_250_3_0.1,78.13215565681458,10.098582634806425,11.329731047115427,12.19129908454328
GB_250_3_0.2,93.68619155883789,8.67970719230198,10.556148259103702,21.618713917745247
GB_250_3_0.5,88.87557077407837,6.875584697200165,10.809421885177885,57.21458408591249
GB_250_4_0.01,115.26447582244873,12.869006805273647,13.621764235246975,5.849382484317681
GB_250_4_0.05,116.70145106315613,9.830769165338069,11.20086417693904,13.936803810140688
GB_250_4_0.1,117.8276116847992,8.552198013534161,10.421626925648123,21.859046167494295
GB_250_4_0.2,117.37246918678284,7.047654541377995,9.91757684225873,40.721665399899024
GB_250_4_0.5,117.35691809654236,5.325264530720968,10.437636071144663,96.0022081707094
GB_300_2_0.01,70.53502321243286,15.559296352744182,16.112358424672774,3.5545442376708025
GB_300_2_0.05,71.06963276863098,12.845227500605798,13.571329748436542,5.652700567557091
GB_300_2_0.1,71.55815625190735,11.73102352033998,12.675992499098792,8.05529864568395
GB_300_2_0.2,71.75443744659424,10.483321036635223,11.736134728661817,11.950542081545402
GB_300_2_0.5,71.10078835487366,8.945488430227531,11.126190028200067,24.377669425000526
GB_300_3_0.01,103.96336197853088,13.755858641534227,14.383160411065406,4.560251641704968
GB_300_3_0.05,112.12085556983948,11.098552402068012,12.048766751904964,8.561606193433805
