,Run_Time,Train_RMSE,Validation_RMSE,delta%
LRF_2_1,2.4235317707061768,21.28115366581936,21.830603367955373,2.5818605079597208
LRF_2_1_l2,2.785466194152832,21.116956620752873,21.162966466559705,0.21788104523364762
LRF_2_2,3.324652910232544,17.75136335588397,29.081569352476304,63.82724396679513
LRF_2_2_l2,3.3552632331848145,19.598671955682473,19.850015339597626,1.2824510991535705
LRF_5_1,9.282115697860718,20.24698123605817,20.849923643115734,2.9779373034819403
LRF_5_1_l2,8.001505851745605,18.80098733994211,19.173747552949443,1.982662964808315
LRF_5_2,11.99280047416687,16.99153939089311,17.616867896304207,3.6802345627745328
LRF_5_2_l2,10.30040431022644,18.344442854016407,18.718214325297787,2.0375187965959114
LRF_7_1,11.564451932907104,20.211022628744104,21.02928381390704,4.048588733947607
LRF_7_1_l2,11.571431875228882,19.137912787651533,24.615669203303426,28.622538290520048
LRF_7_2,15.195155620574951,17.291992007867332,71.15754862011622,311.50579174303164
LRF_7_2_l2,16.17277193069458,16.89859720139402,17.352013272456063,2.683158049501531
LRF_10_1,20.572806119918823,67.73044798092184,18.554970381055714,-72.60468381032673
LRF_10_1_l2,18.30638885498047,18.628492494586755,19.01745919644221,2.0880202838124724
LRF_10_2,24.190091371536255,150.39102788308645,17.76620492014371,-88.18665902466263
LRF_10_2_l2,19.570204257965088,17.332016727969485,22.236990937907777,28.300077751615053
LRF_15_1,30.682191371917725,18.528923187280686,41.77069157755054,125.43507334643348
LRF_15_1_l2,21.099940061569214,19.464803025056117,21.5506452414825,10.715968786025611
LRF_15_2,34.901878118515015,17.664931957938407,18.763688092854043,6.219985095509344
LRF_15_2_l2,32.55386018753052,17.07702808631137,17.4971822736421,2.4603472290797392
LRF_17_1,31.439594268798828,19.399369303920256,19.662682293794987,1.3573275798276592
LRF_17_1_l2,28.554081678390503,18.57842342279429,20.671679407722444,11.267134660952387
LRF_17_2,48.56372380256653,17.2781161279229,17.701723223737808,2.451697237584389
LRF_17_2_l2,34.76065254211426,17.546090789242708,17.996781471203608,2.5686102242056843
LRF_20_1,36.653674602508545,18.69771772106911,19.151852270466904,2.4288234327447427
LRF_20_1_l2,32.89393639564514,19.20817212701182,19.529198952729107,1.671303357729895
LRF_20_2,50.28499484062195,19.78830620245673,79.02588536921618,299.3564914586023
LRF_20_2_l2,38.266722202301025,18.138319064173867,18.50484925600198,2.0207506028056836
LRF_25_1,48.62051248550415,18.700948787365608,19.893175137744073,6.375218519308152
LRF_25_1_l2,39.17163586616516,19.353626974842587,21.49450705727523,11.061906304257754
LRF_25_2,60.0387065410614,17.83729978809358,18.133845423658418,1.66250295217206
LRF_25_2_l2,47.142109394073486,16.690441980461394,17.358027980701767,3.999810196889215
LRF_30_1,50.91861009597778,19.131609814723554,19.57667811627975,2.326350505087535
LRF_30_1_l2,49.92406392097473,18.96970323616854,19.625382602368983,3.4564555809723583
LRF_30_2,68.74289107322693,17.31939519395199,17.84835603756139,3.054153090715986
LRF_30_2_l2,65.77829098701477,16.731539266138988,17.198797145095302,2.7926771800484773
LRF_35_1,62.27098631858826,19.166959245993247,19.71952160229922,2.8828900255604366
LRF_35_1_l2,53.21630096435547,19.08250791716745,19.65612019452265,3.0059585450985327
LRF_35_2,84.75391697883606,16.9228556369838,17.451883729165964,3.126115967248495
LRF_35_2_l2,69.6008939743042,17.01420849608168,17.512478918003623,2.9285548136823083
LRF_40_1,73.24187421798706,19.053841153290154,19.49986706894706,2.340871386869356
LRF_40_1_l2,66.18645143508911,18.85898075721444,19.692258577762296,4.418466889993981
LRF_40_2,92.12829208374023,17.40991485694912,18.12384030156731,4.100683147989259
LRF_40_2_l2,82.49140858650208,17.324964073247482,18.00089940408833,3.9015107216562686
